[2022/06/06 12:01:15.954 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 12:01:15.960 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 12:01:15.960 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7105848244335012427]
[2022/06/06 12:01:15.960 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"readproportion"="0.5"
"threadcount"="35"
"updateproportion"="0.5"
"operationcount"="1000000"
"debug.pprof"=":6060"
"verbose"="false"
"tikv.type"="raw"
"workload"="core"
"scanproportion"="0"
"readallfields"="true"
"tikv.pd"="10.10.1.4:2379"
"insertproportion"="0"
"dotransactions"="true"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"requestdistribution"="uniform"
"recordcount"="1000000"
**********************************************
READ   - Takes(s): 10.0, Count: 26316, OPS: 2642.1, Avg(us): 1849, Min(us): 748, Max(us): 99238, 99th(us): 5000, 99.9th(us): 11000, 99.99th(us): 98000
UPDATE - Takes(s): 9.9, Count: 26662, OPS: 2689.0, Avg(us): 11258, Min(us): 4909, Max(us): 150721, 99th(us): 20000, 99.9th(us): 114000, 99.99th(us): 149000
READ   - Takes(s): 20.0, Count: 53769, OPS: 2693.8, Avg(us): 1815, Min(us): 711, Max(us): 99238, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 93000
UPDATE - Takes(s): 19.9, Count: 54066, OPS: 2714.8, Avg(us): 11100, Min(us): 4814, Max(us): 150721, 99th(us): 23000, 99.9th(us): 75000, 99.99th(us): 144000
READ   - Takes(s): 30.0, Count: 81391, OPS: 2716.6, Avg(us): 1806, Min(us): 711, Max(us): 99238, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 63000
UPDATE - Takes(s): 29.9, Count: 81511, OPS: 2724.7, Avg(us): 11038, Min(us): 4773, Max(us): 150721, 99th(us): 22000, 99.9th(us): 61000, 99.99th(us): 142000
READ   - Takes(s): 40.0, Count: 109580, OPS: 2742.2, Avg(us): 1796, Min(us): 683, Max(us): 99238, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 39000
UPDATE - Takes(s): 39.9, Count: 109756, OPS: 2749.7, Avg(us): 10924, Min(us): 4761, Max(us): 150721, 99th(us): 21000, 99.9th(us): 47000, 99.99th(us): 141000
READ   - Takes(s): 50.0, Count: 137576, OPS: 2753.7, Avg(us): 1788, Min(us): 683, Max(us): 99238, 99th(us): 5000, 99.9th(us): 7000, 99.99th(us): 39000
UPDATE - Takes(s): 49.9, Count: 137576, OPS: 2756.2, Avg(us): 10893, Min(us): 4761, Max(us): 150721, 99th(us): 20000, 99.9th(us): 43000, 99.99th(us): 141000
READ   - Takes(s): 60.0, Count: 165071, OPS: 2753.0, Avg(us): 1788, Min(us): 683, Max(us): 99238, 99th(us): 5000, 99.9th(us): 7000, 99.99th(us): 38000
