[2022/06/06 11:16:14.502 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 11:16:14.508 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 11:16:14.508 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7105848244335012427]
[2022/06/06 11:16:14.508 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"insertproportion"="0"
"workload"="core"
"dotransactions"="true"
"readallfields"="true"
"tikv.pd"="10.10.1.4:2379"
"verbose"="false"
"tikv.type"="raw"
"requestdistribution"="uniform"
"debug.pprof"=":6060"
"operationcount"="1000000"
"readproportion"="0.5"
"updateproportion"="0.5"
"threadcount"="5"
"scanproportion"="0"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"recordcount"="1000000"
**********************************************
READ   - Takes(s): 9.9, Count: 4312, OPS: 434.5, Avg(us): 2453, Min(us): 1404, Max(us): 77923, 99th(us): 8000, 99.9th(us): 36000, 99.99th(us): 78000
UPDATE - Takes(s): 9.9, Count: 4165, OPS: 420.1, Avg(us): 9398, Min(us): 7036, Max(us): 104200, 99th(us): 16000, 99.9th(us): 24000, 99.99th(us): 105000
READ   - Takes(s): 19.9, Count: 8761, OPS: 439.7, Avg(us): 2320, Min(us): 1338, Max(us): 77923, 99th(us): 4000, 99.9th(us): 10000, 99.99th(us): 78000
UPDATE - Takes(s): 19.9, Count: 8597, OPS: 431.7, Avg(us): 9212, Min(us): 6950, Max(us): 104200, 99th(us): 13000, 99.9th(us): 19000, 99.99th(us): 105000
READ   - Takes(s): 29.9, Count: 13284, OPS: 443.9, Avg(us): 2232, Min(us): 1280, Max(us): 77923, 99th(us): 4000, 99.9th(us): 10000, 99.99th(us): 78000
UPDATE - Takes(s): 29.9, Count: 13153, OPS: 439.7, Avg(us): 9100, Min(us): 6805, Max(us): 104200, 99th(us): 13000, 99.9th(us): 18000, 99.99th(us): 89000
READ   - Takes(s): 39.9, Count: 18041, OPS: 451.9, Avg(us): 2161, Min(us): 1230, Max(us): 77923, 99th(us): 4000, 99.9th(us): 9000, 99.99th(us): 61000
UPDATE - Takes(s): 39.9, Count: 17789, OPS: 445.7, Avg(us): 9003, Min(us): 6354, Max(us): 104200, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 89000
READ   - Takes(s): 49.9, Count: 22614, OPS: 453.0, Avg(us): 2118, Min(us): 1230, Max(us): 77923, 99th(us): 4000, 99.9th(us): 9000, 99.99th(us): 61000
UPDATE - Takes(s): 49.9, Count: 22494, OPS: 450.7, Avg(us): 8938, Min(us): 6354, Max(us): 104200, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 88000
READ   - Takes(s): 59.9, Count: 27442, OPS: 458.0, Avg(us): 2086, Min(us): 1230, Max(us): 77923, 99th(us): 4000, 99.9th(us): 9000, 99.99th(us): 61000
