[2022/06/06 12:12:51.028 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 12:12:51.033 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 12:12:51.033 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7105848244335012427]
[2022/06/06 12:12:51.033 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"recordcount"="1000000"
"threadcount"="55"
"requestdistribution"="uniform"
"workload"="core"
"operationcount"="1000000"
"tikv.pd"="10.10.1.4:2379"
"tikv.type"="raw"
"debug.pprof"=":6060"
"scanproportion"="0"
"readproportion"="0.5"
"insertproportion"="0"
"verbose"="false"
"dotransactions"="true"
"tikv.conncount"="128"
"updateproportion"="0.5"
"tikv.batchsize"="128"
"readallfields"="true"
**********************************************
READ   - Takes(s): 10.0, Count: 34005, OPS: 3413.8, Avg(us): 1942, Min(us): 750, Max(us): 85102, 99th(us): 6000, 99.9th(us): 25000, 99.99th(us): 84000
UPDATE - Takes(s): 9.9, Count: 34144, OPS: 3436.4, Avg(us): 14122, Min(us): 5429, Max(us): 114568, 99th(us): 32000, 99.9th(us): 64000, 99.99th(us): 113000
READ   - Takes(s): 20.0, Count: 70370, OPS: 3525.4, Avg(us): 1899, Min(us): 685, Max(us): 85102, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 83000
UPDATE - Takes(s): 19.9, Count: 70521, OPS: 3537.4, Avg(us): 13660, Min(us): 5429, Max(us): 114568, 99th(us): 29000, 99.9th(us): 57000, 99.99th(us): 110000
READ   - Takes(s): 30.0, Count: 107913, OPS: 3601.8, Avg(us): 1873, Min(us): 584, Max(us): 85102, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 83000
UPDATE - Takes(s): 29.9, Count: 108173, OPS: 3613.5, Avg(us): 13345, Min(us): 4756, Max(us): 114568, 99th(us): 26000, 99.9th(us): 53000, 99.99th(us): 107000
READ   - Takes(s): 40.0, Count: 144409, OPS: 3613.8, Avg(us): 1869, Min(us): 584, Max(us): 85102, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 81000
UPDATE - Takes(s): 39.9, Count: 144868, OPS: 3627.6, Avg(us): 13284, Min(us): 4756, Max(us): 114568, 99th(us): 27000, 99.9th(us): 54000, 99.99th(us): 98000
READ   - Takes(s): 50.0, Count: 182592, OPS: 3654.7, Avg(us): 1861, Min(us): 584, Max(us): 85102, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 49000
UPDATE - Takes(s): 49.9, Count: 182531, OPS: 3655.3, Avg(us): 13166, Min(us): 4756, Max(us): 114568, 99th(us): 26000, 99.9th(us): 52000, 99.99th(us): 72000
READ   - Takes(s): 60.0, Count: 220632, OPS: 3679.6, Avg(us): 1857, Min(us): 584, Max(us): 85102, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 50000
UPDATE - Takes(s): 59.9, Count: 220939, OPS: 3686.3, Avg(us): 13044, Min(us): 4756, Max(us): 114568, 99th(us): 26000, 99.9th(us): 52000, 99.99th(us): 71000
READ   - Takes(s): 70.0, Count: 256983, OPS: 3673.3, Avg(us): 1858, Min(us): 584, Max(us): 85102, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 48000
UPDATE - Takes(s): 69.9, Count: 256982, OPS: 3674.6, Avg(us): 13086, Min(us): 4756, Max(us): 114568, 99th(us): 26000, 99.9th(us): 51000, 99.99th(us): 70000
READ   - Takes(s): 80.0, Count: 291412, OPS: 3644.4, Avg(us): 1859, Min(us): 584, Max(us): 85102, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 48000
UPDATE - Takes(s): 79.9, Count: 291218, OPS: 3643.2, Avg(us): 13211, Min(us): 4756, Max(us): 114568, 99th(us): 27000, 99.9th(us): 50000, 99.99th(us): 69000
READ   - Takes(s): 90.0, Count: 325735, OPS: 3620.9, Avg(us): 1862, Min(us): 584, Max(us): 85102, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 48000
UPDATE - Takes(s): 89.9, Count: 325437, OPS: 3618.6, Avg(us): 13310, Min(us): 4756, Max(us): 114568, 99th(us): 27000, 99.9th(us): 49000, 99.99th(us): 68000
READ   - Takes(s): 100.0, Count: 361145, OPS: 3612.9, Avg(us): 1865, Min(us): 584, Max(us): 85102, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 48000
UPDATE - Takes(s): 99.9, Count: 360628, OPS: 3608.6, Avg(us): 13347, Min(us): 4756, Max(us): 114568, 99th(us): 27000, 99.9th(us): 49000, 99.99th(us): 67000
READ   - Takes(s): 110.0, Count: 395628, OPS: 3597.9, Avg(us): 1867, Min(us): 584, Max(us): 85102, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 48000
UPDATE - Takes(s): 109.9, Count: 395089, OPS: 3593.8, Avg(us): 13406, Min(us): 4756, Max(us): 114568, 99th(us): 28000, 99.9th(us): 52000, 99.99th(us): 85000
READ   - Takes(s): 120.0, Count: 432278, OPS: 3603.5, Avg(us): 1865, Min(us): 584, Max(us): 85102, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 48000
UPDATE - Takes(s): 119.9, Count: 431978, OPS: 3601.7, Avg(us): 13376, Min(us): 4756, Max(us): 114568, 99th(us): 27000, 99.9th(us): 51000, 99.99th(us): 83000
READ   - Takes(s): 130.0, Count: 470621, OPS: 3621.3, Avg(us): 1863, Min(us): 584, Max(us): 85102, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 47000
UPDATE - Takes(s): 129.9, Count: 469575, OPS: 3613.9, Avg(us): 13323, Min(us): 4756, Max(us): 114568, 99th(us): 27000, 99.9th(us): 51000, 99.99th(us): 80000
Run finished, takes 2m19.433585276s
READ   - Takes(s): 139.4, Count: 500574, OPS: 3591.2, Avg(us): 1862, Min(us): 584, Max(us): 85102, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 46000
UPDATE - Takes(s): 139.4, Count: 499376, OPS: 3583.2, Avg(us): 13305, Min(us): 4756, Max(us): 114568, 99th(us): 27000, 99.9th(us): 51000, 99.99th(us): 79000
[2022/06/06 12:15:10.468 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/06 12:15:10.468 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
