[2022/06/06 12:15:10.563 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 12:15:10.568 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 12:15:10.568 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7105848244335012427]
[2022/06/06 12:15:10.568 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"debug.pprof"=":6060"
"tikv.pd"="10.10.1.4:2379"
"updateproportion"="0.5"
"recordcount"="1000000"
"insertproportion"="0"
"readallfields"="true"
"workload"="core"
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="60"
"dotransactions"="true"
"readproportion"="0.5"
"tikv.batchsize"="128"
"operationcount"="1000000"
"verbose"="false"
"tikv.type"="raw"
"requestdistribution"="uniform"
**********************************************
READ   - Takes(s): 10.0, Count: 37508, OPS: 3766.2, Avg(us): 1994, Min(us): 650, Max(us): 97452, 99th(us): 6000, 99.9th(us): 34000, 99.99th(us): 96000
UPDATE - Takes(s): 9.9, Count: 37559, OPS: 3786.5, Avg(us): 13930, Min(us): 5594, Max(us): 116494, 99th(us): 27000, 99.9th(us): 62000, 99.99th(us): 114000
READ   - Takes(s): 20.0, Count: 77302, OPS: 3873.0, Avg(us): 1968, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 13000, 99.99th(us): 93000
UPDATE - Takes(s): 19.9, Count: 76953, OPS: 3863.2, Avg(us): 13573, Min(us): 5500, Max(us): 116494, 99th(us): 25000, 99.9th(us): 51000, 99.99th(us): 113000
READ   - Takes(s): 30.0, Count: 114702, OPS: 3828.6, Avg(us): 1952, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 12000, 99.99th(us): 93000
UPDATE - Takes(s): 29.9, Count: 114288, OPS: 3819.9, Avg(us): 13749, Min(us): 5302, Max(us): 116494, 99th(us): 28000, 99.9th(us): 50000, 99.99th(us): 106000
READ   - Takes(s): 40.0, Count: 150534, OPS: 3767.2, Avg(us): 1945, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 10000, 99.99th(us): 88000
UPDATE - Takes(s): 39.9, Count: 150155, OPS: 3761.5, Avg(us): 13993, Min(us): 4949, Max(us): 116494, 99th(us): 29000, 99.9th(us): 53000, 99.99th(us): 97000
READ   - Takes(s): 50.0, Count: 186175, OPS: 3726.5, Avg(us): 1938, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 10000, 99.99th(us): 57000
UPDATE - Takes(s): 49.9, Count: 186446, OPS: 3735.0, Avg(us): 14116, Min(us): 4949, Max(us): 116494, 99th(us): 29000, 99.9th(us): 52000, 99.99th(us): 97000
READ   - Takes(s): 60.0, Count: 222186, OPS: 3705.6, Avg(us): 1933, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 10000, 99.99th(us): 52000
UPDATE - Takes(s): 59.9, Count: 222646, OPS: 3715.8, Avg(us): 14202, Min(us): 4949, Max(us): 116494, 99th(us): 29000, 99.9th(us): 54000, 99.99th(us): 82000
READ   - Takes(s): 70.0, Count: 261390, OPS: 3736.3, Avg(us): 1928, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 49000
UPDATE - Takes(s): 69.9, Count: 261209, OPS: 3735.9, Avg(us): 14112, Min(us): 4949, Max(us): 116494, 99th(us): 29000, 99.9th(us): 53000, 99.99th(us): 81000
READ   - Takes(s): 80.0, Count: 301444, OPS: 3770.0, Avg(us): 1919, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 48000
UPDATE - Takes(s): 79.9, Count: 300857, OPS: 3764.5, Avg(us): 13994, Min(us): 4863, Max(us): 116494, 99th(us): 28000, 99.9th(us): 52000, 99.99th(us): 78000
READ   - Takes(s): 90.0, Count: 340683, OPS: 3787.1, Avg(us): 1915, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 47000
UPDATE - Takes(s): 89.9, Count: 340077, OPS: 3782.0, Avg(us): 13923, Min(us): 4863, Max(us): 116494, 99th(us): 28000, 99.9th(us): 51000, 99.99th(us): 75000
READ   - Takes(s): 100.0, Count: 378371, OPS: 3785.3, Avg(us): 1916, Min(us): 636, Max(us): 97452, 99th(us): 6000, 99.9th(us): 9000, 99.99th(us): 48000
UPDATE - Takes(s): 99.9, Count: 378397, OPS: 3787.0, Avg(us): 13903, Min(us): 4863, Max(us): 151828, 99th(us): 28000, 99.9th(us): 53000, 99.99th(us): 122000
