[2022/06/06 13:27:00.840 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 13:27:00.846 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 13:27:00.846 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 13:27:00.847 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"workload"="core"
"updateproportion"="0.05"
"readallfields"="true"
"recordcount"="1000000"
"threadcount"="5"
"tikv.type"="raw"
"dotransactions"="true"
"debug.pprof"=":6060"
"tikv.pd"="10.10.1.4:2379"
"scanproportion"="0"
"requestdistribution"="uniform"
"insertproportion"="0"
"verbose"="false"
"operationcount"="1000000"
"readproportion"="0.95"
"tikv.conncount"="128"
"tikv.batchsize"="128"
**********************************************
READ   - Takes(s): 10.0, Count: 20937, OPS: 2101.3, Avg(us): 1898, Min(us): 1182, Max(us): 36994, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 28000
UPDATE - Takes(s): 10.0, Count: 1112, OPS: 111.7, Avg(us): 8818, Min(us): 7481, Max(us): 19823, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 20000
READ   - Takes(s): 20.0, Count: 42659, OPS: 2136.8, Avg(us): 1862, Min(us): 1143, Max(us): 45029, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
UPDATE - Takes(s): 20.0, Count: 2254, OPS: 113.0, Avg(us): 8766, Min(us): 7377, Max(us): 19823, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 20000
READ   - Takes(s): 30.0, Count: 64645, OPS: 2157.5, Avg(us): 1844, Min(us): 1056, Max(us): 45029, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 33000
UPDATE - Takes(s): 30.0, Count: 3400, OPS: 113.5, Avg(us): 8732, Min(us): 7220, Max(us): 19823, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 20000
READ   - Takes(s): 40.0, Count: 86889, OPS: 2174.2, Avg(us): 1829, Min(us): 1056, Max(us): 45029, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 40.0, Count: 4551, OPS: 113.9, Avg(us): 8702, Min(us): 6859, Max(us): 19823, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 20000
READ   - Takes(s): 50.0, Count: 108613, OPS: 2173.9, Avg(us): 1825, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 37000
UPDATE - Takes(s): 50.0, Count: 5751, OPS: 115.1, Avg(us): 8692, Min(us): 6859, Max(us): 19823, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 20000
READ   - Takes(s): 60.0, Count: 131111, OPS: 2186.5, Avg(us): 1815, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 60.0, Count: 6892, OPS: 115.0, Avg(us): 8686, Min(us): 6859, Max(us): 46547, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 70.0, Count: 153059, OPS: 2187.7, Avg(us): 1808, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 37000
UPDATE - Takes(s): 70.0, Count: 8159, OPS: 116.6, Avg(us): 8669, Min(us): 6859, Max(us): 46547, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 80.0, Count: 175798, OPS: 2198.5, Avg(us): 1801, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 37000
UPDATE - Takes(s): 80.0, Count: 9307, OPS: 116.4, Avg(us): 8655, Min(us): 6859, Max(us): 46567, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 90.0, Count: 198660, OPS: 2208.2, Avg(us): 1792, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 37000
UPDATE - Takes(s): 90.0, Count: 10508, OPS: 116.8, Avg(us): 8640, Min(us): 6859, Max(us): 46567, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 100.0, Count: 221628, OPS: 2217.1, Avg(us): 1785, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 36000
UPDATE - Takes(s): 100.0, Count: 11681, OPS: 116.9, Avg(us): 8630, Min(us): 6859, Max(us): 46567, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 110.0, Count: 244447, OPS: 2223.0, Avg(us): 1780, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 110.0, Count: 12856, OPS: 116.9, Avg(us): 8628, Min(us): 6859, Max(us): 46567, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 120.0, Count: 266800, OPS: 2224.0, Avg(us): 1777, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 120.0, Count: 14097, OPS: 117.5, Avg(us): 8625, Min(us): 6859, Max(us): 46866, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 130.0, Count: 289242, OPS: 2225.6, Avg(us): 1776, Min(us): 1000, Max(us): 52827, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 130.0, Count: 15267, OPS: 117.5, Avg(us): 8625, Min(us): 6859, Max(us): 46866, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 140.0, Count: 311930, OPS: 2228.7, Avg(us): 1774, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 140.0, Count: 16440, OPS: 117.5, Avg(us): 8625, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 150.0, Count: 334539, OPS: 2230.8, Avg(us): 1771, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 36000
UPDATE - Takes(s): 150.0, Count: 17663, OPS: 117.8, Avg(us): 8619, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 160.0, Count: 356936, OPS: 2231.4, Avg(us): 1770, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 36000
UPDATE - Takes(s): 160.0, Count: 18884, OPS: 118.1, Avg(us): 8618, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 53000
READ   - Takes(s): 170.0, Count: 379083, OPS: 2230.4, Avg(us): 1770, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 36000
UPDATE - Takes(s): 170.0, Count: 20090, OPS: 118.2, Avg(us): 8615, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 180.0, Count: 401076, OPS: 2228.7, Avg(us): 1773, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 180.0, Count: 21202, OPS: 117.8, Avg(us): 8618, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 190.0, Count: 422787, OPS: 2225.6, Avg(us): 1776, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 190.0, Count: 22340, OPS: 117.6, Avg(us): 8622, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 200.0, Count: 444443, OPS: 2222.6, Avg(us): 1778, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 200.0, Count: 23514, OPS: 117.6, Avg(us): 8624, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 210.0, Count: 466294, OPS: 2220.8, Avg(us): 1781, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 210.0, Count: 24607, OPS: 117.2, Avg(us): 8629, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 220.0, Count: 487631, OPS: 2216.9, Avg(us): 1784, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 33000
UPDATE - Takes(s): 220.0, Count: 25740, OPS: 117.0, Avg(us): 8634, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 15000, 99.99th(us): 47000
READ   - Takes(s): 230.0, Count: 508306, OPS: 2210.4, Avg(us): 1789, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 33000
UPDATE - Takes(s): 230.0, Count: 26898, OPS: 117.0, Avg(us): 8641, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 240.0, Count: 529806, OPS: 2207.9, Avg(us): 1792, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 33000
UPDATE - Takes(s): 240.0, Count: 28024, OPS: 116.8, Avg(us): 8644, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 15000, 99.99th(us): 47000
READ   - Takes(s): 250.0, Count: 551197, OPS: 2205.1, Avg(us): 1795, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 32000
UPDATE - Takes(s): 250.0, Count: 29147, OPS: 116.6, Avg(us): 8648, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 47000
READ   - Takes(s): 260.0, Count: 572239, OPS: 2201.2, Avg(us): 1798, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 31000
UPDATE - Takes(s): 260.0, Count: 30312, OPS: 116.6, Avg(us): 8651, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 15000, 99.99th(us): 47000
READ   - Takes(s): 270.0, Count: 593720, OPS: 2199.3, Avg(us): 1800, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 31000
UPDATE - Takes(s): 270.0, Count: 31449, OPS: 116.5, Avg(us): 8654, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 15000, 99.99th(us): 47000
READ   - Takes(s): 280.0, Count: 615312, OPS: 2197.8, Avg(us): 1802, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 31000
UPDATE - Takes(s): 280.0, Count: 32554, OPS: 116.3, Avg(us): 8657, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 15000, 99.99th(us): 47000
READ   - Takes(s): 290.0, Count: 636956, OPS: 2196.7, Avg(us): 1803, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 30000
UPDATE - Takes(s): 290.0, Count: 33682, OPS: 116.2, Avg(us): 8658, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 15000, 99.99th(us): 47000
READ   - Takes(s): 300.0, Count: 658630, OPS: 2195.7, Avg(us): 1804, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 29000
UPDATE - Takes(s): 300.0, Count: 34827, OPS: 116.1, Avg(us): 8661, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 15000, 99.99th(us): 47000
READ   - Takes(s): 310.0, Count: 680173, OPS: 2194.4, Avg(us): 1805, Min(us): 1000, Max(us): 52893, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 28000
UPDATE - Takes(s): 310.0, Count: 36009, OPS: 116.2, Avg(us): 8662, Min(us): 6859, Max(us): 58821, 99th(us): 11000, 99.9th(us): 15000, 99.99th(us): 47000
