[2022/06/06 14:04:22.631 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 14:04:22.637 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 14:04:22.637 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 14:04:22.637 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"tikv.batchsize"="128"
"insertproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"tikv.type"="raw"
"scanproportion"="0"
"debug.pprof"=":6060"
"readproportion"="1"
"workload"="core"
"recordcount"="1000000"
"verbose"="false"
"readallfields"="true"
"operationcount"="1000000"
"updateproportion"="0"
"requestdistribution"="uniform"
"threadcount"="5"
"tikv.conncount"="128"
"dotransactions"="true"
**********************************************
READ   - Takes(s): 9.9, Count: 25509, OPS: 2582.2, Avg(us): 1945, Min(us): 1077, Max(us): 139541, 99th(us): 3000, 99.9th(us): 7000, 99.99th(us): 135000
READ   - Takes(s): 19.9, Count: 51934, OPS: 2612.5, Avg(us): 1911, Min(us): 1077, Max(us): 139541, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 96000
READ   - Takes(s): 29.9, Count: 78884, OPS: 2640.1, Avg(us): 1887, Min(us): 1077, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 32000
READ   - Takes(s): 39.9, Count: 105997, OPS: 2658.0, Avg(us): 1873, Min(us): 1077, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 32000
READ   - Takes(s): 49.9, Count: 133259, OPS: 2671.7, Avg(us): 1862, Min(us): 1077, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 29000
READ   - Takes(s): 59.9, Count: 160540, OPS: 2681.1, Avg(us): 1855, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 28000
READ   - Takes(s): 69.9, Count: 187700, OPS: 2686.1, Avg(us): 1851, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 28000
READ   - Takes(s): 79.9, Count: 214763, OPS: 2688.6, Avg(us): 1848, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 28000
READ   - Takes(s): 89.9, Count: 242061, OPS: 2693.2, Avg(us): 1845, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 99.9, Count: 269623, OPS: 2699.5, Avg(us): 1841, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 28000
READ   - Takes(s): 109.9, Count: 297303, OPS: 2705.7, Avg(us): 1836, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 119.9, Count: 324914, OPS: 2710.4, Avg(us): 1833, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 129.9, Count: 352403, OPS: 2713.3, Avg(us): 1831, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 139.9, Count: 379882, OPS: 2715.8, Avg(us): 1829, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 149.9, Count: 407284, OPS: 2717.4, Avg(us): 1828, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 159.9, Count: 434616, OPS: 2718.4, Avg(us): 1827, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 169.9, Count: 461936, OPS: 2719.2, Avg(us): 1827, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 179.9, Count: 489366, OPS: 2720.5, Avg(us): 1826, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 189.9, Count: 516907, OPS: 2722.3, Avg(us): 1824, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
READ   - Takes(s): 199.9, Count: 544392, OPS: 2723.6, Avg(us): 1823, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 27000
