[2022/06/07 10:11:19.480 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/07 10:11:19.486 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/07 10:11:19.486 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106506722672181532]
[2022/06/07 10:11:19.487 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"updateproportion"="0"
"insertproportion"="0.05"
"debug.pprof"=":6060"
"readallfields"="true"
"verbose"="false"
"tikv.pd"="10.10.1.4:2379"
"tikv.type"="raw"
"recordcount"="1000000"
"threadcount"="10"
"workload"="core"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"readproportion"="0.95"
"operationcount"="1000000"
"dotransactions"="true"
"scanproportion"="0"
"requestdistribution"="latest"
**********************************************
INSERT - Takes(s): 9.9, Count: 2403, OPS: 242.3, Avg(us): 7981, Min(us): 5393, Max(us): 39335, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 40000
READ   - Takes(s): 10.0, Count: 45429, OPS: 4558.6, Avg(us): 1758, Min(us): 910, Max(us): 55558, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 36000
INSERT - Takes(s): 19.9, Count: 4881, OPS: 245.1, Avg(us): 7940, Min(us): 5358, Max(us): 53373, 99th(us): 12000, 99.9th(us): 30000, 99.99th(us): 54000
READ   - Takes(s): 20.0, Count: 92129, OPS: 4614.5, Avg(us): 1730, Min(us): 910, Max(us): 55558, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 36000
INSERT - Takes(s): 29.9, Count: 7275, OPS: 243.2, Avg(us): 8086, Min(us): 5150, Max(us): 63342, 99th(us): 14000, 99.9th(us): 40000, 99.99th(us): 64000
READ   - Takes(s): 30.0, Count: 137668, OPS: 4594.3, Avg(us): 1732, Min(us): 910, Max(us): 60064, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 41000
INSERT - Takes(s): 39.9, Count: 9699, OPS: 243.0, Avg(us): 8187, Min(us): 5150, Max(us): 63342, 99th(us): 17000, 99.9th(us): 32000, 99.99th(us): 64000
READ   - Takes(s): 40.0, Count: 183226, OPS: 4584.7, Avg(us): 1730, Min(us): 910, Max(us): 60064, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 45000
INSERT - Takes(s): 49.9, Count: 12132, OPS: 243.0, Avg(us): 8208, Min(us): 5150, Max(us): 63342, 99th(us): 18000, 99.9th(us): 32000, 99.99th(us): 61000
READ   - Takes(s): 50.0, Count: 229653, OPS: 4596.3, Avg(us): 1724, Min(us): 910, Max(us): 60064, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 45000
INSERT - Takes(s): 59.9, Count: 14564, OPS: 243.1, Avg(us): 8200, Min(us): 5150, Max(us): 63342, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 61000
READ   - Takes(s): 60.0, Count: 276198, OPS: 4606.0, Avg(us): 1720, Min(us): 910, Max(us): 60064, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 48000
INSERT - Takes(s): 69.9, Count: 17119, OPS: 244.9, Avg(us): 8172, Min(us): 5013, Max(us): 63342, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 62000
READ   - Takes(s): 70.0, Count: 323805, OPS: 4628.1, Avg(us): 1710, Min(us): 813, Max(us): 60064, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 48000
INSERT - Takes(s): 79.9, Count: 19528, OPS: 244.4, Avg(us): 8140, Min(us): 4859, Max(us): 63342, 99th(us): 17000, 99.9th(us): 30000, 99.99th(us): 64000
READ   - Takes(s): 80.0, Count: 370660, OPS: 4635.3, Avg(us): 1710, Min(us): 803, Max(us): 60064, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 48000
INSERT - Takes(s): 89.9, Count: 22041, OPS: 245.1, Avg(us): 8102, Min(us): 4859, Max(us): 83157, 99th(us): 16000, 99.9th(us): 26000, 99.99th(us): 64000
READ   - Takes(s): 90.0, Count: 417808, OPS: 4644.1, Avg(us): 1707, Min(us): 803, Max(us): 76263, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 50000
INSERT - Takes(s): 99.9, Count: 24478, OPS: 245.0, Avg(us): 8082, Min(us): 4859, Max(us): 83157, 99th(us): 16000, 99.9th(us): 25000, 99.99th(us): 64000
READ   - Takes(s): 100.0, Count: 464828, OPS: 4649.9, Avg(us): 1706, Min(us): 718, Max(us): 76263, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 49000
INSERT - Takes(s): 109.9, Count: 26953, OPS: 245.2, Avg(us): 8067, Min(us): 4859, Max(us): 83157, 99th(us): 15000, 99.9th(us): 25000, 99.99th(us): 64000
READ   - Takes(s): 110.0, Count: 511817, OPS: 4654.4, Avg(us): 1705, Min(us): 718, Max(us): 76263, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 49000
INSERT - Takes(s): 119.9, Count: 29413, OPS: 245.3, Avg(us): 8058, Min(us): 4859, Max(us): 83157, 99th(us): 15000, 99.9th(us): 25000, 99.99th(us): 64000
READ   - Takes(s): 120.0, Count: 558555, OPS: 4656.0, Avg(us): 1705, Min(us): 718, Max(us): 76263, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 49000
INSERT - Takes(s): 129.9, Count: 31821, OPS: 244.9, Avg(us): 8054, Min(us): 4859, Max(us): 83157, 99th(us): 15000, 99.9th(us): 25000, 99.99th(us): 64000
READ   - Takes(s): 130.0, Count: 604867, OPS: 4654.1, Avg(us): 1706, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 52000
INSERT - Takes(s): 139.9, Count: 34204, OPS: 244.5, Avg(us): 8050, Min(us): 4859, Max(us): 83157, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 64000
READ   - Takes(s): 140.0, Count: 651140, OPS: 4652.2, Avg(us): 1708, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 52000
INSERT - Takes(s): 149.9, Count: 36671, OPS: 244.6, Avg(us): 8044, Min(us): 4859, Max(us): 83157, 99th(us): 14000, 99.9th(us): 24000, 99.99th(us): 64000
READ   - Takes(s): 150.0, Count: 697439, OPS: 4650.7, Avg(us): 1709, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 51000
INSERT - Takes(s): 159.9, Count: 39019, OPS: 244.0, Avg(us): 8043, Min(us): 4859, Max(us): 83157, 99th(us): 14000, 99.9th(us): 22000, 99.99th(us): 64000
READ   - Takes(s): 160.0, Count: 743874, OPS: 4650.2, Avg(us): 1710, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 50000
INSERT - Takes(s): 169.9, Count: 41467, OPS: 244.0, Avg(us): 8044, Min(us): 4859, Max(us): 83157, 99th(us): 14000, 99.9th(us): 22000, 99.99th(us): 62000
READ   - Takes(s): 170.0, Count: 790030, OPS: 4648.2, Avg(us): 1710, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 50000
INSERT - Takes(s): 179.9, Count: 43953, OPS: 244.3, Avg(us): 8040, Min(us): 4859, Max(us): 83157, 99th(us): 14000, 99.9th(us): 22000, 99.99th(us): 62000
READ   - Takes(s): 180.0, Count: 836253, OPS: 4646.8, Avg(us): 1711, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 50000
INSERT - Takes(s): 189.9, Count: 46438, OPS: 244.5, Avg(us): 8035, Min(us): 4859, Max(us): 83157, 99th(us): 14000, 99.9th(us): 22000, 99.99th(us): 62000
READ   - Takes(s): 190.0, Count: 882533, OPS: 4645.8, Avg(us): 1711, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 51000
INSERT - Takes(s): 199.9, Count: 48905, OPS: 244.6, Avg(us): 8034, Min(us): 4859, Max(us): 83157, 99th(us): 14000, 99.9th(us): 22000, 99.99th(us): 62000
READ   - Takes(s): 200.0, Count: 929096, OPS: 4646.3, Avg(us): 1711, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 51000
Run finished, takes 3m25.349267587s
INSERT - Takes(s): 205.3, Count: 49964, OPS: 243.4, Avg(us): 8029, Min(us): 4859, Max(us): 83157, 99th(us): 13000, 99.9th(us): 22000, 99.99th(us): 62000
READ   - Takes(s): 205.3, Count: 950035, OPS: 4627.2, Avg(us): 1711, Min(us): 718, Max(us): 76359, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 50000
[2022/06/07 10:14:44.837 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/07 10:14:44.837 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
