[2022/06/07 10:14:45.035 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/07 10:14:45.039 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/07 10:14:45.039 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106506722672181532]
[2022/06/07 10:14:45.039 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"tikv.conncount"="128"
"threadcount"="15"
"recordcount"="1000000"
"tikv.batchsize"="128"
"insertproportion"="0.05"
"tikv.pd"="10.10.1.4:2379"
"readallfields"="true"
"readproportion"="0.95"
"updateproportion"="0"
"scanproportion"="0"
"verbose"="false"
"workload"="core"
"debug.pprof"=":6060"
"requestdistribution"="latest"
"operationcount"="1000000"
"dotransactions"="true"
"tikv.type"="raw"
**********************************************
INSERT - Takes(s): 10.0, Count: 3522, OPS: 353.7, Avg(us): 8687, Min(us): 5225, Max(us): 43157, 99th(us): 13000, 99.9th(us): 17000, 99.99th(us): 44000
READ   - Takes(s): 10.0, Count: 66919, OPS: 6716.2, Avg(us): 1764, Min(us): 803, Max(us): 37554, 99th(us): 4000, 99.9th(us): 6000, 99.99th(us): 38000
INSERT - Takes(s): 20.0, Count: 7043, OPS: 352.9, Avg(us): 8715, Min(us): 5225, Max(us): 60868, 99th(us): 13000, 99.9th(us): 44000, 99.99th(us): 61000
READ   - Takes(s): 20.0, Count: 134927, OPS: 6758.6, Avg(us): 1749, Min(us): 761, Max(us): 56505, 99th(us): 4000, 99.9th(us): 6000, 99.99th(us): 38000
INSERT - Takes(s): 30.0, Count: 10641, OPS: 355.2, Avg(us): 8696, Min(us): 5225, Max(us): 60868, 99th(us): 13000, 99.9th(us): 36000, 99.99th(us): 61000
READ   - Takes(s): 30.0, Count: 202614, OPS: 6762.0, Avg(us): 1746, Min(us): 761, Max(us): 65996, 99th(us): 4000, 99.9th(us): 6000, 99.99th(us): 39000
INSERT - Takes(s): 40.0, Count: 14243, OPS: 356.5, Avg(us): 8677, Min(us): 5201, Max(us): 60868, 99th(us): 13000, 99.9th(us): 36000, 99.99th(us): 61000
READ   - Takes(s): 40.0, Count: 270395, OPS: 6766.0, Avg(us): 1743, Min(us): 761, Max(us): 65996, 99th(us): 4000, 99.9th(us): 6000, 99.99th(us): 39000
INSERT - Takes(s): 50.0, Count: 17814, OPS: 356.6, Avg(us): 8670, Min(us): 5059, Max(us): 60868, 99th(us): 13000, 99.9th(us): 35000, 99.99th(us): 61000
READ   - Takes(s): 50.0, Count: 338274, OPS: 6770.4, Avg(us): 1742, Min(us): 761, Max(us): 65996, 99th(us): 4000, 99.9th(us): 6000, 99.99th(us): 38000
INSERT - Takes(s): 60.0, Count: 21320, OPS: 355.6, Avg(us): 8669, Min(us): 4895, Max(us): 60868, 99th(us): 13000, 99.9th(us): 33000, 99.99th(us): 60000
READ   - Takes(s): 60.0, Count: 405308, OPS: 6759.2, Avg(us): 1746, Min(us): 743, Max(us): 69867, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
INSERT - Takes(s): 70.0, Count: 24815, OPS: 354.7, Avg(us): 8667, Min(us): 4889, Max(us): 60868, 99th(us): 13000, 99.9th(us): 34000, 99.99th(us): 60000
READ   - Takes(s): 70.0, Count: 472416, OPS: 6752.3, Avg(us): 1749, Min(us): 743, Max(us): 69867, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
INSERT - Takes(s): 80.0, Count: 28252, OPS: 353.3, Avg(us): 8686, Min(us): 4889, Max(us): 60868, 99th(us): 13000, 99.9th(us): 28000, 99.99th(us): 60000
READ   - Takes(s): 80.0, Count: 538680, OPS: 6736.5, Avg(us): 1754, Min(us): 743, Max(us): 71879, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
INSERT - Takes(s): 90.0, Count: 31795, OPS: 353.4, Avg(us): 8697, Min(us): 4889, Max(us): 60868, 99th(us): 13000, 99.9th(us): 27000, 99.99th(us): 60000
READ   - Takes(s): 90.0, Count: 605501, OPS: 6730.5, Avg(us): 1755, Min(us): 743, Max(us): 71879, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
INSERT - Takes(s): 100.0, Count: 35341, OPS: 353.6, Avg(us): 8702, Min(us): 4889, Max(us): 60868, 99th(us): 13000, 99.9th(us): 26000, 99.99th(us): 60000
READ   - Takes(s): 100.0, Count: 672682, OPS: 6729.3, Avg(us): 1755, Min(us): 712, Max(us): 71879, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
INSERT - Takes(s): 110.0, Count: 38810, OPS: 353.0, Avg(us): 8701, Min(us): 4889, Max(us): 60868, 99th(us): 13000, 99.9th(us): 28000, 99.99th(us): 60000
READ   - Takes(s): 110.0, Count: 739624, OPS: 6726.1, Avg(us): 1756, Min(us): 712, Max(us): 71879, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
INSERT - Takes(s): 120.0, Count: 42315, OPS: 352.8, Avg(us): 8695, Min(us): 4889, Max(us): 60868, 99th(us): 13000, 99.9th(us): 27000, 99.99th(us): 59000
READ   - Takes(s): 120.0, Count: 807640, OPS: 6732.4, Avg(us): 1755, Min(us): 712, Max(us): 71879, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 39000
INSERT - Takes(s): 130.0, Count: 45763, OPS: 352.1, Avg(us): 8696, Min(us): 4889, Max(us): 72769, 99th(us): 13000, 99.9th(us): 28000, 99.99th(us): 64000
READ   - Takes(s): 130.0, Count: 874196, OPS: 6726.4, Avg(us): 1757, Min(us): 712, Max(us): 71879, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 40000
INSERT - Takes(s): 140.0, Count: 49203, OPS: 351.6, Avg(us): 8697, Min(us): 4889, Max(us): 72769, 99th(us): 13000, 99.9th(us): 27000, 99.99th(us): 67000
READ   - Takes(s): 140.0, Count: 940309, OPS: 6718.2, Avg(us): 1760, Min(us): 712, Max(us): 71879, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 41000
Run finished, takes 2m21.854600575s
INSERT - Takes(s): 141.8, Count: 49662, OPS: 350.2, Avg(us): 8692, Min(us): 4889, Max(us): 72769, 99th(us): 13000, 99.9th(us): 27000, 99.99th(us): 67000
READ   - Takes(s): 141.8, Count: 950326, OPS: 6701.0, Avg(us): 1759, Min(us): 712, Max(us): 71879, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 41000
[2022/06/07 10:17:06.895 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/07 10:17:06.895 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
