[2022/06/07 10:04:35.406 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/07 10:04:35.411 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/07 10:04:35.411 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106506722672181532]
[2022/06/07 10:04:35.411 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"dotransactions"="true"
"readallfields"="true"
"updateproportion"="0"
"tikv.type"="raw"
"recordcount"="1000000"
"threadcount"="5"
"requestdistribution"="latest"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.pd"="10.10.1.4:2379"
"operationcount"="1000000"
"readproportion"="0.95"
"workload"="core"
"verbose"="false"
"insertproportion"="0.05"
"debug.pprof"=":6060"
**********************************************
INSERT - Takes(s): 9.9, Count: 1194, OPS: 121.1, Avg(us): 7248, Min(us): 5171, Max(us): 18056, 99th(us): 10000, 99.9th(us): 16000, 99.99th(us): 19000
READ   - Takes(s): 10.0, Count: 22074, OPS: 2216.9, Avg(us): 1852, Min(us): 1087, Max(us): 122339, 99th(us): 4000, 99.9th(us): 8000, 99.99th(us): 118000
INSERT - Takes(s): 19.9, Count: 2366, OPS: 119.1, Avg(us): 7276, Min(us): 5171, Max(us): 50865, 99th(us): 11000, 99.9th(us): 16000, 99.99th(us): 51000
READ   - Takes(s): 20.0, Count: 44957, OPS: 2252.7, Avg(us): 1821, Min(us): 1087, Max(us): 122339, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 75000
INSERT - Takes(s): 29.9, Count: 3591, OPS: 120.3, Avg(us): 7262, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 15000, 99.99th(us): 51000
READ   - Takes(s): 30.0, Count: 68143, OPS: 2274.7, Avg(us): 1798, Min(us): 1072, Max(us): 122339, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 61000
INSERT - Takes(s): 39.9, Count: 4807, OPS: 120.6, Avg(us): 7267, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 15000, 99.99th(us): 51000
READ   - Takes(s): 40.0, Count: 91379, OPS: 2286.9, Avg(us): 1786, Min(us): 1023, Max(us): 122339, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 49000
INSERT - Takes(s): 49.9, Count: 6060, OPS: 121.5, Avg(us): 7262, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 14000, 99.99th(us): 51000
READ   - Takes(s): 50.0, Count: 114748, OPS: 2296.9, Avg(us): 1775, Min(us): 1023, Max(us): 122339, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 49000
INSERT - Takes(s): 59.9, Count: 7315, OPS: 122.2, Avg(us): 7268, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 15000, 99.99th(us): 51000
READ   - Takes(s): 60.0, Count: 138175, OPS: 2304.6, Avg(us): 1766, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 45000
INSERT - Takes(s): 69.9, Count: 8618, OPS: 123.4, Avg(us): 7255, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 14000, 99.99th(us): 51000
READ   - Takes(s): 70.0, Count: 161798, OPS: 2312.8, Avg(us): 1757, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 43000
INSERT - Takes(s): 79.9, Count: 9868, OPS: 123.6, Avg(us): 7250, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 14000, 99.99th(us): 51000
