[2022/06/06 15:13:13.436 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 15:13:13.441 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 15:13:13.441 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 15:13:13.441 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"tikv.conncount"="128"
"dotransactions"="true"
"readallfields"="true"
"requestdistribution"="uniform"
"threadcount"="15"
"verbose"="false"
"tikv.type"="raw"
"workload"="core"
"readmodifywriteproportion"="0.5"
"tikv.batchsize"="128"
"readproportion"="0.5"
"operationcount"="1000000"
"updateproportion"="0"
"recordcount"="1000000"
"insertproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"debug.pprof"=":6060"
"scanproportion"="0"
**********************************************
READ   - Takes(s): 10.0, Count: 24541, OPS: 2464.2, Avg(us): 1818, Min(us): 939, Max(us): 97485, 99th(us): 3000, 99.9th(us): 15000, 99.99th(us): 97000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 12280, OPS: 1240.6, Avg(us): 10353, Min(us): 7092, Max(us): 111374, 99th(us): 16000, 99.9th(us): 32000, 99.99th(us): 104000
UPDATE - Takes(s): 9.9, Count: 12281, OPS: 1240.6, Avg(us): 8518, Min(us): 5528, Max(us): 60977, 99th(us): 14000, 99.9th(us): 19000, 99.99th(us): 61000
READ   - Takes(s): 20.0, Count: 49583, OPS: 2484.3, Avg(us): 1787, Min(us): 892, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 96000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 24748, OPS: 1243.7, Avg(us): 10296, Min(us): 6641, Max(us): 111374, 99th(us): 16000, 99.9th(us): 27000, 99.99th(us): 104000
UPDATE - Takes(s): 19.9, Count: 24748, OPS: 1243.7, Avg(us): 8486, Min(us): 5085, Max(us): 60977, 99th(us): 14000, 99.9th(us): 19000, 99.99th(us): 61000
READ   - Takes(s): 30.0, Count: 73698, OPS: 2460.0, Avg(us): 1778, Min(us): 809, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 71000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 36828, OPS: 1231.8, Avg(us): 10411, Min(us): 6641, Max(us): 111374, 99th(us): 18000, 99.9th(us): 35000, 99.99th(us): 104000
UPDATE - Takes(s): 29.9, Count: 36828, OPS: 1231.8, Avg(us): 8610, Min(us): 5085, Max(us): 60977, 99th(us): 16000, 99.9th(us): 31000, 99.99th(us): 56000
READ   - Takes(s): 40.0, Count: 95798, OPS: 2397.4, Avg(us): 1782, Min(us): 809, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 43000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 47930, OPS: 1201.3, Avg(us): 10711, Min(us): 6641, Max(us): 111374, 99th(us): 22000, 99.9th(us): 34000, 99.99th(us): 103000
UPDATE - Takes(s): 39.9, Count: 47930, OPS: 1201.3, Avg(us): 8905, Min(us): 5085, Max(us): 60977, 99th(us): 20000, 99.9th(us): 30000, 99.99th(us): 55000
READ   - Takes(s): 50.0, Count: 118222, OPS: 2366.4, Avg(us): 1783, Min(us): 809, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 36000
READ_MODIFY_WRITE - Takes(s): 49.9, Count: 59164, OPS: 1185.7, Avg(us): 10870, Min(us): 6641, Max(us): 111374, 99th(us): 22000, 99.9th(us): 34000, 99.99th(us): 68000
UPDATE - Takes(s): 49.9, Count: 59164, OPS: 1185.7, Avg(us): 9063, Min(us): 5085, Max(us): 60977, 99th(us): 20000, 99.9th(us): 30000, 99.99th(us): 50000
READ   - Takes(s): 60.0, Count: 141171, OPS: 2354.5, Avg(us): 1783, Min(us): 809, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 35000
READ_MODIFY_WRITE - Takes(s): 59.9, Count: 70622, OPS: 1179.0, Avg(us): 10936, Min(us): 6641, Max(us): 111374, 99th(us): 22000, 99.9th(us): 34000, 99.99th(us): 58000
UPDATE - Takes(s): 59.9, Count: 70622, OPS: 1179.0, Avg(us): 9131, Min(us): 5085, Max(us): 60977, 99th(us): 20000, 99.9th(us): 30000, 99.99th(us): 45000
READ   - Takes(s): 70.0, Count: 165042, OPS: 2359.1, Avg(us): 1787, Min(us): 809, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 33000
READ_MODIFY_WRITE - Takes(s): 69.9, Count: 82608, OPS: 1181.8, Avg(us): 10902, Min(us): 6641, Max(us): 111374, 99th(us): 22000, 99.9th(us): 34000, 99.99th(us): 57000
UPDATE - Takes(s): 69.9, Count: 82608, OPS: 1181.8, Avg(us): 9092, Min(us): 5085, Max(us): 60977, 99th(us): 20000, 99.9th(us): 29000, 99.99th(us): 45000
READ   - Takes(s): 80.0, Count: 189594, OPS: 2371.1, Avg(us): 1789, Min(us): 809, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 33000
