[2022/06/06 15:19:58.911 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 15:19:58.918 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 15:19:58.919 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 15:19:58.919 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"readallfields"="true"
"requestdistribution"="uniform"
"recordcount"="1000000"
"insertproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"readmodifywriteproportion"="0.5"
"verbose"="false"
"operationcount"="1000000"
"updateproportion"="0"
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="20"
"dotransactions"="true"
"tikv.batchsize"="128"
"workload"="core"
"readproportion"="0.5"
"debug.pprof"=":6060"
"tikv.type"="raw"
**********************************************
READ   - Takes(s): 10.0, Count: 28345, OPS: 2844.8, Avg(us): 1862, Min(us): 826, Max(us): 86334, 99th(us): 4000, 99.9th(us): 23000, 99.99th(us): 83000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 14097, OPS: 1422.1, Avg(us): 12263, Min(us): 6874, Max(us): 102290, 99th(us): 26000, 99.9th(us): 41000, 99.99th(us): 103000
UPDATE - Takes(s): 9.9, Count: 14097, OPS: 1422.0, Avg(us): 10381, Min(us): 5277, Max(us): 54505, 99th(us): 24000, 99.9th(us): 33000, 99.99th(us): 54000
READ   - Takes(s): 20.0, Count: 57504, OPS: 2880.5, Avg(us): 1824, Min(us): 826, Max(us): 86334, 99th(us): 3000, 99.9th(us): 10000, 99.99th(us): 81000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 28664, OPS: 1439.5, Avg(us): 12091, Min(us): 6874, Max(us): 102290, 99th(us): 25000, 99.9th(us): 38000, 99.99th(us): 103000
UPDATE - Takes(s): 19.9, Count: 28664, OPS: 1439.5, Avg(us): 10245, Min(us): 5277, Max(us): 54505, 99th(us): 23000, 99.9th(us): 31000, 99.99th(us): 54000
READ   - Takes(s): 30.0, Count: 87580, OPS: 2922.9, Avg(us): 1812, Min(us): 789, Max(us): 86334, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 59000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 43694, OPS: 1460.7, Avg(us): 11888, Min(us): 6656, Max(us): 102290, 99th(us): 25000, 99.9th(us): 34000, 99.99th(us): 92000
UPDATE - Takes(s): 29.9, Count: 43697, OPS: 1460.8, Avg(us): 10051, Min(us): 5118, Max(us): 54505, 99th(us): 23000, 99.9th(us): 31000, 99.99th(us): 51000
READ   - Takes(s): 40.0, Count: 118485, OPS: 2964.8, Avg(us): 1810, Min(us): 736, Max(us): 86334, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 59115, OPS: 1481.1, Avg(us): 11691, Min(us): 6310, Max(us): 102290, 99th(us): 23000, 99.9th(us): 34000, 99.99th(us): 94000
UPDATE - Takes(s): 39.9, Count: 59116, OPS: 1481.1, Avg(us): 9859, Min(us): 5118, Max(us): 54505, 99th(us): 22000, 99.9th(us): 30000, 99.99th(us): 47000
READ   - Takes(s): 50.0, Count: 150522, OPS: 3012.6, Avg(us): 1803, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 49.9, Count: 75139, OPS: 1505.4, Avg(us): 11476, Min(us): 6227, Max(us): 102290, 99th(us): 23000, 99.9th(us): 34000, 99.99th(us): 90000
UPDATE - Takes(s): 49.9, Count: 75139, OPS: 1505.4, Avg(us): 9651, Min(us): 4673, Max(us): 54505, 99th(us): 21000, 99.9th(us): 30000, 99.99th(us): 47000
READ   - Takes(s): 60.0, Count: 182672, OPS: 3046.4, Avg(us): 1792, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 59.9, Count: 91331, OPS: 1524.4, Avg(us): 11324, Min(us): 6227, Max(us): 102290, 99th(us): 22000, 99.9th(us): 34000, 99.99th(us): 88000
UPDATE - Takes(s): 59.9, Count: 91333, OPS: 1524.4, Avg(us): 9510, Min(us): 4673, Max(us): 54505, 99th(us): 20000, 99.9th(us): 30000, 99.99th(us): 48000
READ   - Takes(s): 70.0, Count: 215123, OPS: 3074.8, Avg(us): 1783, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 69.9, Count: 107454, OPS: 1537.0, Avg(us): 11219, Min(us): 6227, Max(us): 102290, 99th(us): 22000, 99.9th(us): 34000, 99.99th(us): 58000
UPDATE - Takes(s): 69.9, Count: 107454, OPS: 1537.0, Avg(us): 9413, Min(us): 4673, Max(us): 54505, 99th(us): 20000, 99.9th(us): 29000, 99.99th(us): 48000
READ   - Takes(s): 80.0, Count: 246729, OPS: 3085.5, Avg(us): 1778, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 79.9, Count: 123298, OPS: 1542.9, Avg(us): 11175, Min(us): 6227, Max(us): 102290, 99th(us): 22000, 99.9th(us): 36000, 99.99th(us): 55000
UPDATE - Takes(s): 79.9, Count: 123298, OPS: 1542.9, Avg(us): 9373, Min(us): 4552, Max(us): 54505, 99th(us): 20000, 99.9th(us): 31000, 99.99th(us): 47000
READ   - Takes(s): 90.0, Count: 279413, OPS: 3105.8, Avg(us): 1775, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 89.9, Count: 139565, OPS: 1552.2, Avg(us): 11097, Min(us): 6227, Max(us): 102290, 99th(us): 22000, 99.9th(us): 35000, 99.99th(us): 55000
UPDATE - Takes(s): 89.9, Count: 139565, OPS: 1552.2, Avg(us): 9299, Min(us): 4552, Max(us): 54505, 99th(us): 20000, 99.9th(us): 31000, 99.99th(us): 47000
READ   - Takes(s): 100.0, Count: 312109, OPS: 3122.2, Avg(us): 1771, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 99.9, Count: 155944, OPS: 1560.8, Avg(us): 11031, Min(us): 6227, Max(us): 102290, 99th(us): 21000, 99.9th(us): 35000, 99.99th(us): 53000
UPDATE - Takes(s): 99.9, Count: 155944, OPS: 1560.8, Avg(us): 9237, Min(us): 4552, Max(us): 54505, 99th(us): 19000, 99.9th(us): 31000, 99.99th(us): 47000
READ   - Takes(s): 110.0, Count: 344461, OPS: 3132.5, Avg(us): 1768, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 109.9, Count: 172079, OPS: 1565.6, Avg(us): 10993, Min(us): 6227, Max(us): 102290, 99th(us): 21000, 99.9th(us): 35000, 99.99th(us): 53000
UPDATE - Takes(s): 109.9, Count: 172079, OPS: 1565.6, Avg(us): 9202, Min(us): 4552, Max(us): 54505, 99th(us): 19000, 99.9th(us): 30000, 99.99th(us): 46000
READ   - Takes(s): 120.0, Count: 377365, OPS: 3145.7, Avg(us): 1765, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 119.9, Count: 188494, OPS: 1571.9, Avg(us): 10942, Min(us): 6227, Max(us): 102290, 99th(us): 21000, 99.9th(us): 35000, 99.99th(us): 55000
UPDATE - Takes(s): 119.9, Count: 188495, OPS: 1571.9, Avg(us): 9154, Min(us): 4552, Max(us): 63723, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 48000
READ   - Takes(s): 130.0, Count: 409870, OPS: 3153.7, Avg(us): 1763, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 129.9, Count: 204829, OPS: 1576.7, Avg(us): 10908, Min(us): 6028, Max(us): 102290, 99th(us): 20000, 99.9th(us): 35000, 99.99th(us): 55000
UPDATE - Takes(s): 129.9, Count: 204830, OPS: 1576.7, Avg(us): 9121, Min(us): 4455, Max(us): 63723, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 48000
READ   - Takes(s): 140.0, Count: 442794, OPS: 3163.6, Avg(us): 1760, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 139.9, Count: 221341, OPS: 1582.0, Avg(us): 10868, Min(us): 5924, Max(us): 102290, 99th(us): 20000, 99.9th(us): 35000, 99.99th(us): 55000
UPDATE - Takes(s): 139.9, Count: 221341, OPS: 1582.0, Avg(us): 9084, Min(us): 4455, Max(us): 63723, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 48000
READ   - Takes(s): 150.0, Count: 474851, OPS: 3166.4, Avg(us): 1759, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 149.9, Count: 237336, OPS: 1583.2, Avg(us): 10860, Min(us): 5924, Max(us): 102290, 99th(us): 20000, 99.9th(us): 35000, 99.99th(us): 55000
UPDATE - Takes(s): 149.9, Count: 237336, OPS: 1583.2, Avg(us): 9077, Min(us): 4455, Max(us): 63723, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 48000
READ   - Takes(s): 160.0, Count: 508142, OPS: 3176.6, Avg(us): 1756, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 159.9, Count: 253930, OPS: 1587.9, Avg(us): 10824, Min(us): 5924, Max(us): 102290, 99th(us): 20000, 99.9th(us): 35000, 99.99th(us): 55000
UPDATE - Takes(s): 159.9, Count: 253931, OPS: 1587.9, Avg(us): 9043, Min(us): 4455, Max(us): 63723, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 48000
READ   - Takes(s): 170.0, Count: 541457, OPS: 3185.7, Avg(us): 1755, Min(us): 726, Max(us): 86334, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 169.9, Count: 270550, OPS: 1592.3, Avg(us): 10790, Min(us): 5924, Max(us): 102290, 99th(us): 20000, 99.9th(us): 35000, 99.99th(us): 54000
