[2022/06/06 15:39:44.833 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 15:39:44.838 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 15:39:44.838 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 15:39:44.838 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"tikv.conncount"="128"
"operationcount"="1000000"
"debug.pprof"=":6060"
"tikv.pd"="10.10.1.4:2379"
"readproportion"="0.5"
"requestdistribution"="uniform"
"verbose"="false"
"insertproportion"="0"
"threadcount"="45"
"scanproportion"="0"
"workload"="core"
"tikv.type"="raw"
"updateproportion"="0"
"readmodifywriteproportion"="0.5"
"recordcount"="1000000"
"readallfields"="true"
"tikv.batchsize"="128"
"dotransactions"="true"
**********************************************
READ   - Takes(s): 10.0, Count: 58898, OPS: 5913.7, Avg(us): 1913, Min(us): 721, Max(us): 85760, 99th(us): 5000, 99.9th(us): 38000, 99.99th(us): 84000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 29498, OPS: 2975.1, Avg(us): 13310, Min(us): 6313, Max(us): 106507, 99th(us): 23000, 99.9th(us): 59000, 99.99th(us): 103000
UPDATE - Takes(s): 9.9, Count: 29501, OPS: 2975.1, Avg(us): 11381, Min(us): 4861, Max(us): 62711, 99th(us): 21000, 99.9th(us): 43000, 99.99th(us): 62000
READ   - Takes(s): 20.0, Count: 117849, OPS: 5904.4, Avg(us): 1874, Min(us): 693, Max(us): 85760, 99th(us): 5000, 99.9th(us): 18000, 99.99th(us): 81000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 58828, OPS: 2954.0, Avg(us): 13392, Min(us): 6215, Max(us): 106507, 99th(us): 28000, 99.9th(us): 58000, 99.99th(us): 97000
UPDATE - Takes(s): 19.9, Count: 58829, OPS: 2953.9, Avg(us): 11498, Min(us): 4861, Max(us): 76298, 99th(us): 25000, 99.9th(us): 48000, 99.99th(us): 66000
READ   - Takes(s): 30.0, Count: 178912, OPS: 5971.8, Avg(us): 1841, Min(us): 652, Max(us): 85760, 99th(us): 5000, 99.9th(us): 16000, 99.99th(us): 80000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 89385, OPS: 2988.0, Avg(us): 13235, Min(us): 6188, Max(us): 106507, 99th(us): 26000, 99.9th(us): 56000, 99.99th(us): 94000
UPDATE - Takes(s): 29.9, Count: 89385, OPS: 2987.9, Avg(us): 11372, Min(us): 4772, Max(us): 76298, 99th(us): 23000, 99.9th(us): 47000, 99.99th(us): 65000
READ   - Takes(s): 40.0, Count: 238521, OPS: 5969.1, Avg(us): 1833, Min(us): 652, Max(us): 85760, 99th(us): 5000, 99.9th(us): 10000, 99.99th(us): 77000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 119143, OPS: 2984.9, Avg(us): 13250, Min(us): 6188, Max(us): 153378, 99th(us): 25000, 99.9th(us): 62000, 99.99th(us): 145000
UPDATE - Takes(s): 39.9, Count: 119143, OPS: 2984.9, Avg(us): 11393, Min(us): 4379, Max(us): 151665, 99th(us): 22000, 99.9th(us): 54000, 99.99th(us): 142000
READ   - Takes(s): 50.0, Count: 298060, OPS: 5966.0, Avg(us): 1834, Min(us): 652, Max(us): 85760, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 75000
READ_MODIFY_WRITE - Takes(s): 49.9, Count: 149162, OPS: 2988.3, Avg(us): 13235, Min(us): 5692, Max(us): 153378, 99th(us): 24000, 99.9th(us): 60000, 99.99th(us): 142000
UPDATE - Takes(s): 49.9, Count: 149164, OPS: 2988.3, Avg(us): 11375, Min(us): 4370, Max(us): 151665, 99th(us): 22000, 99.9th(us): 53000, 99.99th(us): 139000
READ   - Takes(s): 60.0, Count: 355759, OPS: 5933.3, Avg(us): 1834, Min(us): 652, Max(us): 85760, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 55000
READ_MODIFY_WRITE - Takes(s): 59.9, Count: 177999, OPS: 2970.9, Avg(us): 13319, Min(us): 5692, Max(us): 153378, 99th(us): 26000, 99.9th(us): 60000, 99.99th(us): 141000
UPDATE - Takes(s): 59.9, Count: 178001, OPS: 2970.9, Avg(us): 11460, Min(us): 4370, Max(us): 151665, 99th(us): 24000, 99.9th(us): 51000, 99.99th(us): 140000
READ   - Takes(s): 70.0, Count: 416962, OPS: 5960.1, Avg(us): 1828, Min(us): 652, Max(us): 85760, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 55000
READ_MODIFY_WRITE - Takes(s): 69.9, Count: 208697, OPS: 2985.0, Avg(us): 13252, Min(us): 5692, Max(us): 153378, 99th(us): 26000, 99.9th(us): 59000, 99.99th(us): 137000
UPDATE - Takes(s): 69.9, Count: 208700, OPS: 2985.0, Avg(us): 11399, Min(us): 4370, Max(us): 151665, 99th(us): 23000, 99.9th(us): 51000, 99.99th(us): 136000
READ   - Takes(s): 80.0, Count: 477792, OPS: 5975.4, Avg(us): 1824, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 9000, 99.99th(us): 54000
READ_MODIFY_WRITE - Takes(s): 79.9, Count: 239189, OPS: 2993.1, Avg(us): 13215, Min(us): 5692, Max(us): 153378, 99th(us): 25000, 99.9th(us): 58000, 99.99th(us): 137000
UPDATE - Takes(s): 79.9, Count: 239190, OPS: 2993.0, Avg(us): 11364, Min(us): 4370, Max(us): 151665, 99th(us): 22000, 99.9th(us): 50000, 99.99th(us): 135000
READ   - Takes(s): 90.0, Count: 538850, OPS: 5989.9, Avg(us): 1820, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 54000
READ_MODIFY_WRITE - Takes(s): 89.9, Count: 269381, OPS: 2996.0, Avg(us): 13197, Min(us): 5692, Max(us): 153378, 99th(us): 25000, 99.9th(us): 58000, 99.99th(us): 132000
UPDATE - Takes(s): 89.9, Count: 269382, OPS: 2995.9, Avg(us): 11350, Min(us): 4370, Max(us): 151665, 99th(us): 22000, 99.9th(us): 49000, 99.99th(us): 122000
READ   - Takes(s): 100.0, Count: 591936, OPS: 5921.7, Avg(us): 1822, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 53000
READ_MODIFY_WRITE - Takes(s): 99.9, Count: 296071, OPS: 2963.2, Avg(us): 13362, Min(us): 5692, Max(us): 165995, 99th(us): 26000, 99.9th(us): 61000, 99.99th(us): 145000
UPDATE - Takes(s): 99.9, Count: 296076, OPS: 2963.2, Avg(us): 11513, Min(us): 4370, Max(us): 164388, 99th(us): 24000, 99.9th(us): 54000, 99.99th(us): 144000
READ   - Takes(s): 110.0, Count: 646786, OPS: 5882.0, Avg(us): 1822, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 53000
READ_MODIFY_WRITE - Takes(s): 109.9, Count: 323711, OPS: 2945.1, Avg(us): 13457, Min(us): 5692, Max(us): 165995, 99th(us): 27000, 99.9th(us): 60000, 99.99th(us): 145000
UPDATE - Takes(s): 109.9, Count: 323713, OPS: 2945.1, Avg(us): 11608, Min(us): 4370, Max(us): 164388, 99th(us): 25000, 99.9th(us): 53000, 99.99th(us): 143000
READ   - Takes(s): 120.0, Count: 703415, OPS: 5863.8, Avg(us): 1823, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 53000
READ_MODIFY_WRITE - Takes(s): 119.9, Count: 352034, OPS: 2935.7, Avg(us): 13505, Min(us): 5692, Max(us): 165995, 99th(us): 27000, 99.9th(us): 60000, 99.99th(us): 144000
UPDATE - Takes(s): 119.9, Count: 352035, OPS: 2935.7, Avg(us): 11655, Min(us): 4370, Max(us): 164388, 99th(us): 25000, 99.9th(us): 52000, 99.99th(us): 143000
READ   - Takes(s): 130.0, Count: 760305, OPS: 5850.3, Avg(us): 1825, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 52000
READ_MODIFY_WRITE - Takes(s): 129.9, Count: 380498, OPS: 2928.8, Avg(us): 13537, Min(us): 5692, Max(us): 165995, 99th(us): 27000, 99.9th(us): 59000, 99.99th(us): 144000
UPDATE - Takes(s): 129.9, Count: 380498, OPS: 2928.8, Avg(us): 11685, Min(us): 4370, Max(us): 164388, 99th(us): 25000, 99.9th(us): 52000, 99.99th(us): 141000
READ   - Takes(s): 140.0, Count: 818578, OPS: 5848.7, Avg(us): 1826, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 53000
READ_MODIFY_WRITE - Takes(s): 139.9, Count: 409672, OPS: 2928.0, Avg(us): 13540, Min(us): 5692, Max(us): 165995, 99th(us): 27000, 99.9th(us): 58000, 99.99th(us): 143000
UPDATE - Takes(s): 139.9, Count: 409672, OPS: 2928.0, Avg(us): 11687, Min(us): 4370, Max(us): 164388, 99th(us): 25000, 99.9th(us): 51000, 99.99th(us): 141000
READ   - Takes(s): 150.0, Count: 880631, OPS: 5872.5, Avg(us): 1824, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 52000
READ_MODIFY_WRITE - Takes(s): 149.9, Count: 440736, OPS: 2939.9, Avg(us): 13479, Min(us): 5692, Max(us): 165995, 99th(us): 27000, 99.9th(us): 58000, 99.99th(us): 142000
UPDATE - Takes(s): 149.9, Count: 440736, OPS: 2939.9, Avg(us): 11628, Min(us): 4370, Max(us): 164388, 99th(us): 25000, 99.9th(us): 50000, 99.99th(us): 138000
READ   - Takes(s): 160.0, Count: 942533, OPS: 5892.3, Avg(us): 1823, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 52000
READ_MODIFY_WRITE - Takes(s): 159.9, Count: 471678, OPS: 2949.6, Avg(us): 13429, Min(us): 5692, Max(us): 165995, 99th(us): 27000, 99.9th(us): 57000, 99.99th(us): 138000
UPDATE - Takes(s): 159.9, Count: 471680, OPS: 2949.6, Avg(us): 11580, Min(us): 4370, Max(us): 164388, 99th(us): 24000, 99.9th(us): 50000, 99.99th(us): 136000
READ   - Takes(s): 170.0, Count: 999632, OPS: 5881.6, Avg(us): 1821, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 52000
READ_MODIFY_WRITE - Takes(s): 169.9, Count: 500284, OPS: 2944.3, Avg(us): 13385, Min(us): 5692, Max(us): 165995, 99th(us): 26000, 99.9th(us): 57000, 99.99th(us): 137000
UPDATE - Takes(s): 169.9, Count: 500284, OPS: 2944.3, Avg(us): 11537, Min(us): 4370, Max(us): 164388, 99th(us): 24000, 99.9th(us): 49000, 99.99th(us): 136000
Run finished, takes 2m50.735465893s
READ   - Takes(s): 170.7, Count: 999990, OPS: 5858.4, Avg(us): 1821, Min(us): 627, Max(us): 85760, 99th(us): 5000, 99.9th(us): 8000, 99.99th(us): 52000
READ_MODIFY_WRITE - Takes(s): 170.6, Count: 500473, OPS: 2932.7, Avg(us): 13384, Min(us): 5692, Max(us): 165995, 99th(us): 26000, 99.9th(us): 57000, 99.99th(us): 137000
UPDATE - Takes(s): 170.7, Count: 500473, OPS: 2932.7, Avg(us): 11536, Min(us): 4370, Max(us): 164388, 99th(us): 24000, 99.9th(us): 49000, 99.99th(us): 136000
[2022/06/06 15:42:35.575 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/06 15:42:35.575 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
