[2022/06/06 14:41:50.984 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 14:41:50.990 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 14:41:50.990 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 14:41:50.990 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="5"
"tikv.pd"="10.10.1.4:2379"
"insertproportion"="0"
"requestdistribution"="uniform"
"workload"="core"
"operationcount"="1000000"
"dotransactions"="true"
"updateproportion"="0"
"recordcount"="1000000"
"tikv.batchsize"="128"
"readallfields"="true"
"readmodifywriteproportion"="0.5"
"readproportion"="0.5"
"tikv.type"="raw"
"verbose"="false"
"debug.pprof"=":6060"
**********************************************
READ   - Takes(s): 10.0, Count: 7650, OPS: 768.1, Avg(us): 2104, Min(us): 1209, Max(us): 137373, 99th(us): 3000, 99.9th(us): 41000, 99.99th(us): 138000
READ_MODIFY_WRITE - Takes(s): 9.8, Count: 3812, OPS: 387.0, Avg(us): 10923, Min(us): 9025, Max(us): 109979, 99th(us): 14000, 99.9th(us): 72000, 99.99th(us): 110000
UPDATE - Takes(s): 9.8, Count: 3813, OPS: 387.1, Avg(us): 8838, Min(us): 7248, Max(us): 70910, 99th(us): 12000, 99.9th(us): 14000, 99.99th(us): 71000
READ   - Takes(s): 20.0, Count: 15306, OPS: 766.8, Avg(us): 2047, Min(us): 1161, Max(us): 137373, 99th(us): 3000, 99.9th(us): 8000, 99.99th(us): 131000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 7714, OPS: 388.6, Avg(us): 10896, Min(us): 8459, Max(us): 109979, 99th(us): 14000, 99.9th(us): 41000, 99.99th(us): 110000
UPDATE - Takes(s): 19.9, Count: 7714, OPS: 388.6, Avg(us): 8848, Min(us): 7091, Max(us): 70910, 99th(us): 12000, 99.9th(us): 20000, 99.99th(us): 69000
READ   - Takes(s): 30.0, Count: 23177, OPS: 773.6, Avg(us): 2025, Min(us): 1161, Max(us): 137373, 99th(us): 3000, 99.9th(us): 7000, 99.99th(us): 131000
READ_MODIFY_WRITE - Takes(s): 29.8, Count: 11610, OPS: 388.9, Avg(us): 10859, Min(us): 8459, Max(us): 109979, 99th(us): 14000, 99.9th(us): 25000, 99.99th(us): 81000
UPDATE - Takes(s): 29.9, Count: 11610, OPS: 388.9, Avg(us): 8826, Min(us): 7091, Max(us): 70910, 99th(us): 12000, 99.9th(us): 15000, 99.99th(us): 69000
READ   - Takes(s): 40.0, Count: 30966, OPS: 774.9, Avg(us): 2017, Min(us): 1161, Max(us): 137373, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 98000
READ_MODIFY_WRITE - Takes(s): 39.8, Count: 15524, OPS: 389.6, Avg(us): 10838, Min(us): 8459, Max(us): 109979, 99th(us): 14000, 99.9th(us): 19000, 99.99th(us): 81000
UPDATE - Takes(s): 39.9, Count: 15524, OPS: 389.6, Avg(us): 8809, Min(us): 7091, Max(us): 70910, 99th(us): 12000, 99.9th(us): 15000, 99.99th(us): 69000
READ   - Takes(s): 50.0, Count: 38730, OPS: 775.2, Avg(us): 2006, Min(us): 1161, Max(us): 137373, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 92000
READ_MODIFY_WRITE - Takes(s): 49.8, Count: 19484, OPS: 390.9, Avg(us): 10815, Min(us): 8459, Max(us): 109979, 99th(us): 14000, 99.9th(us): 19000, 99.99th(us): 81000
UPDATE - Takes(s): 49.8, Count: 19484, OPS: 390.9, Avg(us): 8794, Min(us): 6734, Max(us): 70910, 99th(us): 12000, 99.9th(us): 14000, 99.99th(us): 69000
