[2022/06/06 15:45:15.158 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 15:45:15.164 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 15:45:15.164 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 15:45:15.165 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"threadcount"="55"
"recordcount"="1000000"
"updateproportion"="0"
"operationcount"="1000000"
"insertproportion"="0"
"tikv.conncount"="128"
"scanproportion"="0"
"verbose"="false"
"tikv.pd"="10.10.1.4:2379"
"tikv.type"="raw"
"readmodifywriteproportion"="0.5"
"tikv.batchsize"="128"
"workload"="core"
"dotransactions"="true"
"readallfields"="true"
"debug.pprof"=":6060"
"requestdistribution"="uniform"
"readproportion"="0.5"
**********************************************
READ   - Takes(s): 10.0, Count: 66763, OPS: 6702.3, Avg(us): 1976, Min(us): 618, Max(us): 87902, 99th(us): 6000, 99.9th(us): 37000, 99.99th(us): 86000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 33196, OPS: 3348.4, Avg(us): 14548, Min(us): 6442, Max(us): 110148, 99th(us): 25000, 99.9th(us): 74000, 99.99th(us): 109000
UPDATE - Takes(s): 9.9, Count: 33197, OPS: 3348.4, Avg(us): 12530, Min(us): 5024, Max(us): 71310, 99th(us): 22000, 99.9th(us): 49000, 99.99th(us): 65000
READ   - Takes(s): 20.0, Count: 134804, OPS: 6753.3, Avg(us): 1953, Min(us): 602, Max(us): 87902, 99th(us): 6000, 99.9th(us): 30000, 99.99th(us): 79000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 67208, OPS: 3374.9, Avg(us): 14372, Min(us): 6235, Max(us): 110148, 99th(us): 25000, 99.9th(us): 61000, 99.99th(us): 104000
UPDATE - Takes(s): 19.9, Count: 67208, OPS: 3374.9, Avg(us): 12392, Min(us): 4853, Max(us): 77158, 99th(us): 22000, 99.9th(us): 43000, 99.99th(us): 69000
READ   - Takes(s): 30.0, Count: 202283, OPS: 6751.5, Avg(us): 1924, Min(us): 602, Max(us): 87902, 99th(us): 6000, 99.9th(us): 19000, 99.99th(us): 77000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 101136, OPS: 3380.9, Avg(us): 14373, Min(us): 5463, Max(us): 110148, 99th(us): 27000, 99.9th(us): 63000, 99.99th(us): 100000
UPDATE - Takes(s): 29.9, Count: 101137, OPS: 3380.9, Avg(us): 12419, Min(us): 4408, Max(us): 78097, 99th(us): 24000, 99.9th(us): 47000, 99.99th(us): 72000
READ   - Takes(s): 40.0, Count: 272245, OPS: 6812.7, Avg(us): 1910, Min(us): 602, Max(us): 87902, 99th(us): 6000, 99.9th(us): 17000, 99.99th(us): 77000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 136180, OPS: 3411.9, Avg(us): 14228, Min(us): 5463, Max(us): 110148, 99th(us): 26000, 99.9th(us): 62000, 99.99th(us): 98000
UPDATE - Takes(s): 39.9, Count: 136181, OPS: 3411.9, Avg(us): 12291, Min(us): 4408, Max(us): 86495, 99th(us): 23000, 99.9th(us): 47000, 99.99th(us): 75000
READ   - Takes(s): 50.0, Count: 340782, OPS: 6820.9, Avg(us): 1907, Min(us): 602, Max(us): 87902, 99th(us): 6000, 99.9th(us): 15000, 99.99th(us): 76000
READ_MODIFY_WRITE - Takes(s): 49.9, Count: 170611, OPS: 3418.1, Avg(us): 14199, Min(us): 5463, Max(us): 110148, 99th(us): 26000, 99.9th(us): 62000, 99.99th(us): 94000
UPDATE - Takes(s): 49.9, Count: 170616, OPS: 3418.2, Avg(us): 12265, Min(us): 4408, Max(us): 86495, 99th(us): 23000, 99.9th(us): 47000, 99.99th(us): 73000
READ   - Takes(s): 60.0, Count: 406557, OPS: 6780.3, Avg(us): 1905, Min(us): 602, Max(us): 87902, 99th(us): 6000, 99.9th(us): 15000, 99.99th(us): 71000
READ_MODIFY_WRITE - Takes(s): 59.9, Count: 203459, OPS: 3395.9, Avg(us): 14301, Min(us): 5463, Max(us): 110148, 99th(us): 27000, 99.9th(us): 62000, 99.99th(us): 94000
UPDATE - Takes(s): 59.9, Count: 203459, OPS: 3395.8, Avg(us): 12368, Min(us): 4408, Max(us): 86495, 99th(us): 24000, 99.9th(us): 46000, 99.99th(us): 75000
READ   - Takes(s): 70.0, Count: 470598, OPS: 6726.6, Avg(us): 1902, Min(us): 602, Max(us): 87902, 99th(us): 5000, 99.9th(us): 15000, 99.99th(us): 67000
