[2022/06/07 14:06:50.014 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/07 14:06:50.022 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/07 14:06:50.022 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106566731107235629]
[2022/06/07 14:06:50.022 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"requestdistribution"="uniform"
"tikv.pd"="10.10.1.4:2379"
"tikv.batchsize"="128"
"threadcount"="20"
"readproportion"="0.5"
"readallfields"="true"
"workload"="core"
"insertproportion"="0"
"verbose"="false"
"tikv.type"="raw"
"recordcount"="1000000"
"debug.pprof"=":6060"
"tikv.conncount"="128"
"operationcount"="1000000"
"scanproportion"="0"
"dotransactions"="true"
"updateproportion"="0.5"
**********************************************
READ   - Takes(s): 10.0, Count: 19462, OPS: 1953.9, Avg(us): 1779, Min(us): 752, Max(us): 85116, 99th(us): 3000, 99.9th(us): 15000, 99.99th(us): 85000
UPDATE - Takes(s): 9.9, Count: 19524, OPS: 1964.8, Avg(us): 8423, Min(us): 4731, Max(us): 97621, 99th(us): 15000, 99.9th(us): 19000, 99.99th(us): 96000
READ   - Takes(s): 20.0, Count: 39385, OPS: 1973.1, Avg(us): 1753, Min(us): 724, Max(us): 85116, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 85000
UPDATE - Takes(s): 19.9, Count: 39235, OPS: 1968.0, Avg(us): 8393, Min(us): 4731, Max(us): 97621, 99th(us): 15000, 99.9th(us): 18000, 99.99th(us): 96000
READ   - Takes(s): 30.0, Count: 57790, OPS: 1928.9, Avg(us): 1748, Min(us): 724, Max(us): 85116, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 85000
UPDATE - Takes(s): 29.9, Count: 57892, OPS: 1933.8, Avg(us): 8577, Min(us): 4731, Max(us): 97621, 99th(us): 18000, 99.9th(us): 38000, 99.99th(us): 95000
READ   - Takes(s): 40.0, Count: 77164, OPS: 1931.0, Avg(us): 1743, Min(us): 716, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 40000
UPDATE - Takes(s): 39.9, Count: 77829, OPS: 1948.8, Avg(us): 8511, Min(us): 4339, Max(us): 97621, 99th(us): 17000, 99.9th(us): 34000, 99.99th(us): 64000
READ   - Takes(s): 50.0, Count: 97531, OPS: 1952.2, Avg(us): 1738, Min(us): 716, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 34000
UPDATE - Takes(s): 49.9, Count: 97941, OPS: 1961.3, Avg(us): 8440, Min(us): 4339, Max(us): 97621, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 59000
READ   - Takes(s): 60.0, Count: 117875, OPS: 1965.9, Avg(us): 1731, Min(us): 716, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 33000
