[2022/06/07 13:34:41.106 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/07 13:34:41.111 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/07 13:34:41.111 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106566731107235629]
[2022/06/07 13:34:41.112 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"tikv.type"="raw"
"tikv.conncount"="128"
"tikv.pd"="10.10.1.4:2379"
"verbose"="false"
"recordcount"="1000000"
"updateproportion"="0.5"
"debug.pprof"=":6060"
"readproportion"="0.5"
"operationcount"="1000000"
"requestdistribution"="uniform"
"insertproportion"="0"
"readallfields"="true"
"threadcount"="5"
"dotransactions"="true"
"workload"="core"
"tikv.batchsize"="128"
**********************************************
READ   - Takes(s): 9.9, Count: 4410, OPS: 444.6, Avg(us): 2465, Min(us): 1319, Max(us): 82153, 99th(us): 9000, 99.9th(us): 12000, 99.99th(us): 83000
UPDATE - Takes(s): 9.9, Count: 4175, OPS: 421.8, Avg(us): 9323, Min(us): 6666, Max(us): 145292, 99th(us): 16000, 99.9th(us): 36000, 99.99th(us): 146000
READ   - Takes(s): 19.9, Count: 8882, OPS: 445.9, Avg(us): 2324, Min(us): 1272, Max(us): 82153, 99th(us): 4000, 99.9th(us): 10000, 99.99th(us): 83000
UPDATE - Takes(s): 19.9, Count: 8676, OPS: 436.0, Avg(us): 9102, Min(us): 6586, Max(us): 145292, 99th(us): 13000, 99.9th(us): 23000, 99.99th(us): 146000
READ   - Takes(s): 29.9, Count: 13434, OPS: 449.0, Avg(us): 2245, Min(us): 1185, Max(us): 82153, 99th(us): 4000, 99.9th(us): 10000, 99.99th(us): 25000
UPDATE - Takes(s): 29.9, Count: 13254, OPS: 443.3, Avg(us): 8997, Min(us): 6456, Max(us): 145292, 99th(us): 12000, 99.9th(us): 21000, 99.99th(us): 105000
READ   - Takes(s): 39.9, Count: 18162, OPS: 455.0, Avg(us): 2179, Min(us): 1155, Max(us): 82153, 99th(us): 4000, 99.9th(us): 10000, 99.99th(us): 25000
UPDATE - Takes(s): 39.9, Count: 17929, OPS: 449.4, Avg(us): 8903, Min(us): 6389, Max(us): 145292, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 105000
READ   - Takes(s): 49.9, Count: 23005, OPS: 460.9, Avg(us): 2128, Min(us): 1155, Max(us): 82153, 99th(us): 4000, 99.9th(us): 9000, 99.99th(us): 25000
UPDATE - Takes(s): 49.9, Count: 22614, OPS: 453.2, Avg(us): 8847, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 105000
READ   - Takes(s): 59.9, Count: 27668, OPS: 461.8, Avg(us): 2096, Min(us): 1155, Max(us): 82153, 99th(us): 4000, 99.9th(us): 9000, 99.99th(us): 25000
UPDATE - Takes(s): 59.9, Count: 27344, OPS: 456.5, Avg(us): 8806, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 105000
READ   - Takes(s): 69.9, Count: 32169, OPS: 460.1, Avg(us): 2088, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 25000
UPDATE - Takes(s): 69.9, Count: 31998, OPS: 457.8, Avg(us): 8796, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 103000
READ   - Takes(s): 79.9, Count: 36851, OPS: 461.1, Avg(us): 2072, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 25000
UPDATE - Takes(s): 79.9, Count: 36710, OPS: 459.5, Avg(us): 8772, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 103000
READ   - Takes(s): 89.9, Count: 41531, OPS: 461.9, Avg(us): 2058, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 25000
UPDATE - Takes(s): 89.9, Count: 41442, OPS: 461.0, Avg(us): 8753, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 36000
READ   - Takes(s): 99.9, Count: 46048, OPS: 460.9, Avg(us): 2045, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 25000
UPDATE - Takes(s): 99.9, Count: 46058, OPS: 461.1, Avg(us): 8768, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 22000, 99.99th(us): 105000
READ   - Takes(s): 109.9, Count: 50677, OPS: 461.0, Avg(us): 2035, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 24000
UPDATE - Takes(s): 109.9, Count: 50825, OPS: 462.5, Avg(us): 8750, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 21000, 99.99th(us): 103000
READ   - Takes(s): 119.9, Count: 55460, OPS: 462.5, Avg(us): 2025, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 24000
UPDATE - Takes(s): 119.9, Count: 55529, OPS: 463.1, Avg(us): 8740, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 21000, 99.99th(us): 103000
READ   - Takes(s): 129.9, Count: 60083, OPS: 462.5, Avg(us): 2019, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 24000
UPDATE - Takes(s): 129.9, Count: 60227, OPS: 463.6, Avg(us): 8736, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 20000, 99.99th(us): 81000
READ   - Takes(s): 139.9, Count: 64780, OPS: 463.0, Avg(us): 2015, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 8000, 99.99th(us): 24000
UPDATE - Takes(s): 139.9, Count: 64892, OPS: 463.9, Avg(us): 8733, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 20000, 99.99th(us): 81000
READ   - Takes(s): 149.9, Count: 69499, OPS: 463.6, Avg(us): 2012, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 7000, 99.99th(us): 24000
UPDATE - Takes(s): 149.9, Count: 69542, OPS: 463.9, Avg(us): 8731, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 81000
READ   - Takes(s): 159.9, Count: 74218, OPS: 464.1, Avg(us): 2009, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 7000, 99.99th(us): 24000
UPDATE - Takes(s): 159.9, Count: 74212, OPS: 464.1, Avg(us): 8728, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 81000
READ   - Takes(s): 169.9, Count: 78917, OPS: 464.4, Avg(us): 2006, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 7000, 99.99th(us): 24000
UPDATE - Takes(s): 169.9, Count: 78888, OPS: 464.3, Avg(us): 8725, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 81000
READ   - Takes(s): 179.9, Count: 83689, OPS: 465.1, Avg(us): 2004, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 7000, 99.99th(us): 24000
UPDATE - Takes(s): 179.9, Count: 83531, OPS: 464.3, Avg(us): 8724, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 64000
READ   - Takes(s): 189.9, Count: 88536, OPS: 466.2, Avg(us): 2004, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 24000
UPDATE - Takes(s): 189.9, Count: 88084, OPS: 463.8, Avg(us): 8728, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 64000
READ   - Takes(s): 199.9, Count: 93101, OPS: 465.7, Avg(us): 2004, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 23000
UPDATE - Takes(s): 199.9, Count: 92705, OPS: 463.8, Avg(us): 8731, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 63000
READ   - Takes(s): 209.9, Count: 97769, OPS: 465.7, Avg(us): 2004, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 209.9, Count: 97333, OPS: 463.7, Avg(us): 8732, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 63000
READ   - Takes(s): 219.9, Count: 102401, OPS: 465.6, Avg(us): 2004, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 23000
UPDATE - Takes(s): 219.9, Count: 101918, OPS: 463.5, Avg(us): 8737, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 63000
READ   - Takes(s): 229.9, Count: 107033, OPS: 465.5, Avg(us): 2004, Min(us): 1155, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 23000
UPDATE - Takes(s): 229.9, Count: 106519, OPS: 463.3, Avg(us): 8740, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 63000
READ   - Takes(s): 239.9, Count: 111840, OPS: 466.2, Avg(us): 2003, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 239.9, Count: 111107, OPS: 463.1, Avg(us): 8742, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 56000
READ   - Takes(s): 249.9, Count: 116310, OPS: 465.4, Avg(us): 2007, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 249.9, Count: 115652, OPS: 462.8, Avg(us): 8747, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 56000
READ   - Takes(s): 259.9, Count: 120934, OPS: 465.3, Avg(us): 2010, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 259.9, Count: 120194, OPS: 462.5, Avg(us): 8751, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 49000
READ   - Takes(s): 269.9, Count: 125556, OPS: 465.2, Avg(us): 2011, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 269.9, Count: 124743, OPS: 462.2, Avg(us): 8755, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 49000
READ   - Takes(s): 279.9, Count: 130152, OPS: 465.0, Avg(us): 2012, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 279.9, Count: 129322, OPS: 462.0, Avg(us): 8758, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 49000
READ   - Takes(s): 289.9, Count: 134738, OPS: 464.7, Avg(us): 2013, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 289.9, Count: 133921, OPS: 462.0, Avg(us): 8760, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 49000
READ   - Takes(s): 299.9, Count: 139373, OPS: 464.7, Avg(us): 2012, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 299.9, Count: 138544, OPS: 462.0, Avg(us): 8760, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 49000
READ   - Takes(s): 309.9, Count: 143865, OPS: 464.2, Avg(us): 2013, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 22000
UPDATE - Takes(s): 309.9, Count: 143150, OPS: 461.9, Avg(us): 8762, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 43000
READ   - Takes(s): 319.9, Count: 148428, OPS: 464.0, Avg(us): 2013, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 22000
UPDATE - Takes(s): 319.9, Count: 147750, OPS: 461.9, Avg(us): 8764, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 43000
READ   - Takes(s): 329.9, Count: 153224, OPS: 464.4, Avg(us): 2013, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 21000
UPDATE - Takes(s): 329.9, Count: 152312, OPS: 461.7, Avg(us): 8765, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 36000
READ   - Takes(s): 339.9, Count: 157870, OPS: 464.4, Avg(us): 2013, Min(us): 955, Max(us): 82153, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 21000
UPDATE - Takes(s): 339.9, Count: 156911, OPS: 461.6, Avg(us): 8766, Min(us): 6340, Max(us): 145292, 99th(us): 12000, 99.9th(us): 17000, 99.99th(us): 36000
