[2022/06/08 21:39:12.540 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 21:39:12.546 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 21:39:12.546 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7107062843429175921]
[2022/06/08 21:39:12.546 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"dotransactions"="true"
"readproportion"="0.95"
"tikv.conncount"="128"
"workload"="core"
"insertproportion"="0"
"scanproportion"="0"
"updateproportion"="0.05"
"readallfields"="true"
"tikv.type"="raw"
"verbose"="false"
"debug.pprof"=":6060"
"tikv.pd"="10.10.1.4:2379"
"requestdistribution"="uniform"
"operationcount"="1000000"
"tikv.batchsize"="128"
"recordcount"="1000000"
"threadcount"="5"
**********************************************
READ   - Takes(s): 9.9, Count: 18010, OPS: 1815.3, Avg(us): 2274, Min(us): 1133, Max(us): 95502, 99th(us): 4000, 99.9th(us): 14000, 99.99th(us): 93000
UPDATE - Takes(s): 9.9, Count: 939, OPS: 95.3, Avg(us): 9223, Min(us): 7482, Max(us): 58729, 99th(us): 12000, 99.9th(us): 59000, 99.99th(us): 59000
READ   - Takes(s): 19.9, Count: 39147, OPS: 1965.1, Avg(us): 2073, Min(us): 1074, Max(us): 95502, 99th(us): 4000, 99.9th(us): 9000, 99.99th(us): 80000
UPDATE - Takes(s): 19.9, Count: 2034, OPS: 102.4, Avg(us): 8929, Min(us): 7112, Max(us): 58729, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 27000
READ   - Takes(s): 29.9, Count: 60811, OPS: 2032.4, Avg(us): 1992, Min(us): 1074, Max(us): 95502, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 53000
UPDATE - Takes(s): 29.9, Count: 3149, OPS: 105.5, Avg(us): 8839, Min(us): 7112, Max(us): 58729, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 59000
READ   - Takes(s): 39.9, Count: 82719, OPS: 2072.0, Avg(us): 1942, Min(us): 1011, Max(us): 95502, 99th(us): 3000, 99.9th(us): 9000, 99.99th(us): 39000
UPDATE - Takes(s): 39.9, Count: 4329, OPS: 108.6, Avg(us): 8773, Min(us): 7112, Max(us): 58729, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 59000
READ   - Takes(s): 49.9, Count: 105179, OPS: 2106.9, Avg(us): 1905, Min(us): 973, Max(us): 95502, 99th(us): 3000, 99.9th(us): 8000, 99.99th(us): 38000
UPDATE - Takes(s): 49.9, Count: 5497, OPS: 110.3, Avg(us): 8727, Min(us): 7021, Max(us): 58729, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 59000
READ   - Takes(s): 59.9, Count: 127677, OPS: 2130.8, Avg(us): 1879, Min(us): 973, Max(us): 95502, 99th(us): 3000, 99.9th(us): 7000, 99.99th(us): 36000
UPDATE - Takes(s): 59.9, Count: 6693, OPS: 111.8, Avg(us): 8687, Min(us): 7021, Max(us): 58729, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 59000
READ   - Takes(s): 69.9, Count: 149913, OPS: 2144.0, Avg(us): 1866, Min(us): 973, Max(us): 95502, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 34000
UPDATE - Takes(s): 69.9, Count: 7835, OPS: 112.2, Avg(us): 8667, Min(us): 7021, Max(us): 58729, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 59000
READ   - Takes(s): 79.9, Count: 171973, OPS: 2151.8, Avg(us): 1855, Min(us): 937, Max(us): 95502, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 36000
UPDATE - Takes(s): 79.9, Count: 9052, OPS: 113.4, Avg(us): 8647, Min(us): 6644, Max(us): 58729, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 59000
READ   - Takes(s): 89.9, Count: 194384, OPS: 2161.7, Avg(us): 1846, Min(us): 937, Max(us): 95502, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 34000
UPDATE - Takes(s): 89.9, Count: 10205, OPS: 113.6, Avg(us): 8641, Min(us): 6644, Max(us): 58729, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 39000
READ   - Takes(s): 99.9, Count: 216925, OPS: 2171.0, Avg(us): 1838, Min(us): 937, Max(us): 95502, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 34000
UPDATE - Takes(s): 99.9, Count: 11349, OPS: 113.7, Avg(us): 8627, Min(us): 6644, Max(us): 58729, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 39000
READ   - Takes(s): 109.9, Count: 239192, OPS: 2176.0, Avg(us): 1833, Min(us): 929, Max(us): 95502, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 109.9, Count: 12532, OPS: 114.1, Avg(us): 8621, Min(us): 6644, Max(us): 58729, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 39000
READ   - Takes(s): 119.9, Count: 261450, OPS: 2180.2, Avg(us): 1827, Min(us): 929, Max(us): 95502, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 31000
UPDATE - Takes(s): 119.9, Count: 13739, OPS: 114.6, Avg(us): 8609, Min(us): 6644, Max(us): 58729, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 39000
READ   - Takes(s): 129.9, Count: 282761, OPS: 2176.4, Avg(us): 1830, Min(us): 929, Max(us): 95502, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 31000
UPDATE - Takes(s): 129.9, Count: 14880, OPS: 114.6, Avg(us): 8613, Min(us): 6644, Max(us): 58729, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 39000
