[2022/06/08 10:28:33.529 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 10:28:33.537 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 10:28:33.537 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106870844986743687]
[2022/06/08 10:28:33.537 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"insertproportion"="0"
"recordcount"="1000000"
"operationcount"="1000000"
"tikv.batchsize"="128"
"threadcount"="20"
"dotransactions"="true"
"debug.pprof"=":6060"
"tikv.pd"="10.10.1.4:2379"
"readmodifywriteproportion"="0.5"
"verbose"="false"
"updateproportion"="0"
"readallfields"="true"
"requestdistribution"="uniform"
"tikv.type"="raw"
"readproportion"="0.5"
"tikv.conncount"="128"
"workload"="core"
**********************************************
READ   - Takes(s): 10.0, Count: 32952, OPS: 3307.3, Avg(us): 1824, Min(us): 829, Max(us): 118683, 99th(us): 4000, 99.9th(us): 18000, 99.99th(us): 89000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 16390, OPS: 1653.6, Avg(us): 10335, Min(us): 5850, Max(us): 134302, 99th(us): 17000, 99.9th(us): 39000, 99.99th(us): 99000
UPDATE - Takes(s): 9.9, Count: 16393, OPS: 1653.9, Avg(us): 8485, Min(us): 4313, Max(us): 56526, 99th(us): 14000, 99.9th(us): 22000, 99.99th(us): 55000
READ   - Takes(s): 20.0, Count: 67026, OPS: 3357.4, Avg(us): 1783, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 88000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 33437, OPS: 1679.3, Avg(us): 10151, Min(us): 5850, Max(us): 134302, 99th(us): 16000, 99.9th(us): 29000, 99.99th(us): 99000
UPDATE - Takes(s): 19.9, Count: 33438, OPS: 1679.3, Avg(us): 8342, Min(us): 4313, Max(us): 56526, 99th(us): 14000, 99.9th(us): 22000, 99.99th(us): 53000
READ   - Takes(s): 30.0, Count: 99572, OPS: 3323.1, Avg(us): 1774, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 87000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 49766, OPS: 1663.8, Avg(us): 10259, Min(us): 5850, Max(us): 134302, 99th(us): 19000, 99.9th(us): 37000, 99.99th(us): 98000
UPDATE - Takes(s): 29.9, Count: 49767, OPS: 1663.8, Avg(us): 8461, Min(us): 4313, Max(us): 56526, 99th(us): 17000, 99.9th(us): 34000, 99.99th(us): 52000
READ   - Takes(s): 40.0, Count: 132990, OPS: 3327.8, Avg(us): 1771, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 57000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 66547, OPS: 1667.4, Avg(us): 10231, Min(us): 5850, Max(us): 134302, 99th(us): 18000, 99.9th(us): 36000, 99.99th(us): 94000
