[2022/06/08 10:37:46.011 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 10:37:46.016 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 10:37:46.016 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106870844986743687]
[2022/06/08 10:37:46.016 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"readmodifywriteproportion"="0.5"
"verbose"="false"
"updateproportion"="0"
"debug.pprof"=":6060"
"operationcount"="1000000"
"workload"="core"
"recordcount"="1000000"
"readproportion"="0.5"
"tikv.batchsize"="128"
"scanproportion"="0"
"dotransactions"="true"
"insertproportion"="0"
"tikv.conncount"="128"
"requestdistribution"="uniform"
"readallfields"="true"
"tikv.pd"="10.10.1.4:2379"
"tikv.type"="raw"
"threadcount"="30"
**********************************************
READ   - Takes(s): 10.0, Count: 45701, OPS: 4588.0, Avg(us): 1772, Min(us): 712, Max(us): 132830, 99th(us): 4000, 99.9th(us): 14000, 99.99th(us): 93000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 22846, OPS: 2307.0, Avg(us): 11334, Min(us): 6207, Max(us): 152114, 99th(us): 19000, 99.9th(us): 43000, 99.99th(us): 107000
UPDATE - Takes(s): 9.9, Count: 22847, OPS: 2307.0, Avg(us): 9535, Min(us): 4710, Max(us): 59880, 99th(us): 17000, 99.9th(us): 24000, 99.99th(us): 60000
READ   - Takes(s): 20.0, Count: 93148, OPS: 4666.6, Avg(us): 1737, Min(us): 701, Max(us): 132830, 99th(us): 4000, 99.9th(us): 8000, 99.99th(us): 90000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 46400, OPS: 2331.4, Avg(us): 11159, Min(us): 5893, Max(us): 152114, 99th(us): 19000, 99.9th(us): 37000, 99.99th(us): 106000
UPDATE - Takes(s): 19.9, Count: 46400, OPS: 2331.3, Avg(us): 9397, Min(us): 4687, Max(us): 59880, 99th(us): 17000, 99.9th(us): 23000, 99.99th(us): 59000
READ   - Takes(s): 30.0, Count: 140287, OPS: 4682.4, Avg(us): 1729, Min(us): 701, Max(us): 132830, 99th(us): 4000, 99.9th(us): 7000, 99.99th(us): 90000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 70180, OPS: 2347.0, Avg(us): 11077, Min(us): 5733, Max(us): 152114, 99th(us): 19000, 99.9th(us): 38000, 99.99th(us): 105000
UPDATE - Takes(s): 29.9, Count: 70180, OPS: 2346.9, Avg(us): 9323, Min(us): 4582, Max(us): 59880, 99th(us): 17000, 99.9th(us): 23000, 99.99th(us): 52000
READ   - Takes(s): 40.0, Count: 186366, OPS: 4663.7, Avg(us): 1723, Min(us): 685, Max(us): 132830, 99th(us): 4000, 99.9th(us): 7000, 99.99th(us): 79000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 93039, OPS: 2331.7, Avg(us): 11150, Min(us): 5615, Max(us): 152114, 99th(us): 21000, 99.9th(us): 42000, 99.99th(us): 104000
UPDATE - Takes(s): 39.9, Count: 93039, OPS: 2331.6, Avg(us): 9401, Min(us): 4058, Max(us): 59880, 99th(us): 19000, 99.9th(us): 32000, 99.99th(us): 54000
READ   - Takes(s): 50.0, Count: 233267, OPS: 4669.0, Avg(us): 1720, Min(us): 685, Max(us): 132830, 99th(us): 4000, 99.9th(us): 6000, 99.99th(us): 47000
READ_MODIFY_WRITE - Takes(s): 49.9, Count: 116492, OPS: 2334.4, Avg(us): 11132, Min(us): 5615, Max(us): 152114, 99th(us): 20000, 99.9th(us): 42000, 99.99th(us): 103000
UPDATE - Takes(s): 49.9, Count: 116492, OPS: 2334.4, Avg(us): 9388, Min(us): 4058, Max(us): 59880, 99th(us): 18000, 99.9th(us): 32000, 99.99th(us): 54000
READ   - Takes(s): 60.0, Count: 279850, OPS: 4667.2, Avg(us): 1715, Min(us): 685, Max(us): 132830, 99th(us): 4000, 99.9th(us): 6000, 99.99th(us): 47000
READ_MODIFY_WRITE - Takes(s): 59.9, Count: 139582, OPS: 2330.2, Avg(us): 11152, Min(us): 5615, Max(us): 152114, 99th(us): 20000, 99.9th(us): 42000, 99.99th(us): 98000
UPDATE - Takes(s): 59.9, Count: 139583, OPS: 2330.2, Avg(us): 9412, Min(us): 4058, Max(us): 59880, 99th(us): 18000, 99.9th(us): 32000, 99.99th(us): 55000
