[2022/06/08 10:47:43.859 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 10:47:43.865 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 10:47:43.865 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106870844986743687]
[2022/06/08 10:47:43.865 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"tikv.pd"="10.10.1.4:2379"
"readmodifywriteproportion"="0.5"
"dotransactions"="true"
"debug.pprof"=":6060"
"readproportion"="0.5"
"updateproportion"="0"
"verbose"="false"
"tikv.batchsize"="128"
"operationcount"="1000000"
"insertproportion"="0"
"threadcount"="45"
"scanproportion"="0"
"workload"="core"
"tikv.conncount"="128"
"requestdistribution"="uniform"
"recordcount"="1000000"
"readallfields"="true"
"tikv.type"="raw"
**********************************************
READ   - Takes(s): 10.0, Count: 60444, OPS: 6065.8, Avg(us): 1909, Min(us): 673, Max(us): 81132, 99th(us): 5000, 99.9th(us): 38000, 99.99th(us): 78000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 30141, OPS: 3038.3, Avg(us): 12987, Min(us): 6152, Max(us): 105286, 99th(us): 23000, 99.9th(us): 73000, 99.99th(us): 98000
UPDATE - Takes(s): 9.9, Count: 30144, OPS: 3038.5, Avg(us): 11047, Min(us): 4852, Max(us): 80198, 99th(us): 20000, 99.9th(us): 48000, 99.99th(us): 67000
READ   - Takes(s): 20.0, Count: 123636, OPS: 6192.8, Avg(us): 1849, Min(us): 666, Max(us): 81132, 99th(us): 5000, 99.9th(us): 19000, 99.99th(us): 76000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 61750, OPS: 3099.9, Avg(us): 12703, Min(us): 5688, Max(us): 105286, 99th(us): 23000, 99.9th(us): 64000, 99.99th(us): 97000
UPDATE - Takes(s): 19.9, Count: 61750, OPS: 3099.8, Avg(us): 10824, Min(us): 4264, Max(us): 80198, 99th(us): 21000, 99.9th(us): 44000, 99.99th(us): 70000
READ   - Takes(s): 30.0, Count: 183795, OPS: 6133.8, Avg(us): 1833, Min(us): 654, Max(us): 81132, 99th(us): 5000, 99.9th(us): 16000, 99.99th(us): 76000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 91980, OPS: 3074.2, Avg(us): 12830, Min(us): 5688, Max(us): 105286, 99th(us): 26000, 99.9th(us): 61000, 99.99th(us): 93000
UPDATE - Takes(s): 29.9, Count: 91980, OPS: 3074.2, Avg(us): 10968, Min(us): 4264, Max(us): 80198, 99th(us): 23000, 99.9th(us): 48000, 99.99th(us): 69000
READ   - Takes(s): 40.0, Count: 238756, OPS: 5974.2, Avg(us): 1846, Min(us): 654, Max(us): 81132, 99th(us): 5000, 99.9th(us): 16000, 99.99th(us): 72000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 119547, OPS: 2994.7, Avg(us): 13197, Min(us): 5688, Max(us): 105286, 99th(us): 29000, 99.9th(us): 61000, 99.99th(us): 93000
UPDATE - Takes(s): 39.9, Count: 119548, OPS: 2994.7, Avg(us): 11324, Min(us): 4264, Max(us): 92652, 99th(us): 26000, 99.9th(us): 48000, 99.99th(us): 73000
READ   - Takes(s): 50.0, Count: 293996, OPS: 5884.1, Avg(us): 1854, Min(us): 654, Max(us): 81132, 99th(us): 5000, 99.9th(us): 15000, 99.99th(us): 65000
READ_MODIFY_WRITE - Takes(s): 49.9, Count: 147095, OPS: 2946.6, Avg(us): 13427, Min(us): 5688, Max(us): 105286, 99th(us): 29000, 99.9th(us): 59000, 99.99th(us): 93000
UPDATE - Takes(s): 49.9, Count: 147095, OPS: 2946.6, Avg(us): 11545, Min(us): 4264, Max(us): 92652, 99th(us): 27000, 99.9th(us): 47000, 99.99th(us): 73000
READ   - Takes(s): 60.0, Count: 349015, OPS: 5820.4, Avg(us): 1859, Min(us): 654, Max(us): 81132, 99th(us): 5000, 99.9th(us): 13000, 99.99th(us): 62000
