[2022/06/08 11:00:02.577 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 11:00:02.583 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 11:00:02.583 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106870844986743687]
[2022/06/08 11:00:02.584 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"requestdistribution"="uniform"
"tikv.conncount"="128"
"updateproportion"="0"
"verbose"="false"
"debug.pprof"=":6060"
"operationcount"="1000000"
"workload"="core"
"dotransactions"="true"
"recordcount"="1000000"
"insertproportion"="0"
"threadcount"="70"
"tikv.type"="raw"
"tikv.batchsize"="128"
"readallfields"="true"
"tikv.pd"="10.10.1.4:2379"
"scanproportion"="0"
"readmodifywriteproportion"="0.5"
"readproportion"="0.5"
**********************************************
READ   - Takes(s): 10.0, Count: 73427, OPS: 7374.0, Avg(us): 2081, Min(us): 637, Max(us): 96749, 99th(us): 7000, 99.9th(us): 41000, 99.99th(us): 92000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 36855, OPS: 3722.5, Avg(us): 16897, Min(us): 6166, Max(us): 121650, 99th(us): 45000, 99.9th(us): 97000, 99.99th(us): 118000
UPDATE - Takes(s): 9.9, Count: 36854, OPS: 3722.3, Avg(us): 14785, Min(us): 4547, Max(us): 93199, 99th(us): 41000, 99.9th(us): 72000, 99.99th(us): 86000
READ   - Takes(s): 20.0, Count: 155820, OPS: 7807.6, Avg(us): 2031, Min(us): 609, Max(us): 96749, 99th(us): 7000, 99.9th(us): 30000, 99.99th(us): 91000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 78234, OPS: 3931.3, Avg(us): 15861, Min(us): 5551, Max(us): 121650, 99th(us): 36000, 99.9th(us): 77000, 99.99th(us): 115000
UPDATE - Takes(s): 19.9, Count: 78234, OPS: 3931.3, Avg(us): 13801, Min(us): 4387, Max(us): 93199, 99th(us): 33000, 99.9th(us): 66000, 99.99th(us): 84000
READ   - Takes(s): 30.0, Count: 240301, OPS: 8021.4, Avg(us): 2012, Min(us): 599, Max(us): 96749, 99th(us): 7000, 99.9th(us): 21000, 99.99th(us): 90000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 120244, OPS: 4021.5, Avg(us): 15437, Min(us): 5551, Max(us): 121650, 99th(us): 32000, 99.9th(us): 74000, 99.99th(us): 113000
UPDATE - Takes(s): 29.9, Count: 120244, OPS: 4021.5, Avg(us): 13398, Min(us): 4387, Max(us): 101884, 99th(us): 28000, 99.9th(us): 64000, 99.99th(us): 84000
READ   - Takes(s): 40.0, Count: 321508, OPS: 8046.3, Avg(us): 2006, Min(us): 599, Max(us): 96749, 99th(us): 7000, 99.9th(us): 20000, 99.99th(us): 88000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 160693, OPS: 4027.4, Avg(us): 15399, Min(us): 5551, Max(us): 121650, 99th(us): 34000, 99.9th(us): 75000, 99.99th(us): 111000
UPDATE - Takes(s): 39.9, Count: 160691, OPS: 4027.3, Avg(us): 13367, Min(us): 4387, Max(us): 101884, 99th(us): 30000, 99.9th(us): 66000, 99.99th(us): 84000
READ   - Takes(s): 50.0, Count: 405624, OPS: 8119.4, Avg(us): 2004, Min(us): 578, Max(us): 96749, 99th(us): 7000, 99.9th(us): 20000, 99.99th(us): 88000
READ_MODIFY_WRITE - Takes(s): 49.9, Count: 202696, OPS: 4062.0, Avg(us): 15240, Min(us): 5551, Max(us): 121650, 99th(us): 32000, 99.9th(us): 73000, 99.99th(us): 109000
