[2022/06/08 11:09:47.693 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 11:09:47.698 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 11:09:47.698 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106870844986743687]
[2022/06/08 11:09:47.699 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"recordcount"="1000000"
"tikv.batchsize"="128"
"readmodifywriteproportion"="0.5"
"updateproportion"="0"
"scanproportion"="0"
"readproportion"="0.5"
"verbose"="false"
"workload"="core"
"insertproportion"="0"
"debug.pprof"=":6060"
"tikv.conncount"="128"
"requestdistribution"="uniform"
"tikv.pd"="10.10.1.4:2379"
"threadcount"="95"
"readallfields"="true"
"operationcount"="1000000"
"tikv.type"="raw"
"dotransactions"="true"
**********************************************
READ   - Takes(s): 10.0, Count: 97376, OPS: 9779.5, Avg(us): 2352, Min(us): 604, Max(us): 94686, 99th(us): 10000, 99.9th(us): 60000, 99.99th(us): 92000
READ_MODIFY_WRITE - Takes(s): 9.9, Count: 48589, OPS: 4906.0, Avg(us): 17176, Min(us): 5660, Max(us): 137034, 99th(us): 35000, 99.9th(us): 105000, 99.99th(us): 124000
UPDATE - Takes(s): 9.9, Count: 48594, OPS: 4906.3, Avg(us): 14776, Min(us): 4388, Max(us): 119892, 99th(us): 29000, 99.9th(us): 67000, 99.99th(us): 104000
READ   - Takes(s): 20.0, Count: 194979, OPS: 9769.9, Avg(us): 2317, Min(us): 588, Max(us): 97301, 99th(us): 10000, 99.9th(us): 50000, 99.99th(us): 92000
READ_MODIFY_WRITE - Takes(s): 19.9, Count: 97272, OPS: 4887.1, Avg(us): 17197, Min(us): 5660, Max(us): 137034, 99th(us): 38000, 99.9th(us): 96000, 99.99th(us): 125000
UPDATE - Takes(s): 19.9, Count: 97274, OPS: 4887.1, Avg(us): 14841, Min(us): 4388, Max(us): 119892, 99th(us): 32000, 99.9th(us): 73000, 99.99th(us): 103000
READ   - Takes(s): 30.0, Count: 295483, OPS: 9863.5, Avg(us): 2293, Min(us): 568, Max(us): 97301, 99th(us): 10000, 99.9th(us): 41000, 99.99th(us): 90000
READ_MODIFY_WRITE - Takes(s): 29.9, Count: 147710, OPS: 4939.5, Avg(us): 16986, Min(us): 5626, Max(us): 137034, 99th(us): 36000, 99.9th(us): 93000, 99.99th(us): 122000
UPDATE - Takes(s): 29.9, Count: 147710, OPS: 4939.5, Avg(us): 14661, Min(us): 4388, Max(us): 119892, 99th(us): 31000, 99.9th(us): 79000, 99.99th(us): 102000
READ   - Takes(s): 40.0, Count: 389321, OPS: 9743.5, Avg(us): 2279, Min(us): 568, Max(us): 97301, 99th(us): 10000, 99.9th(us): 33000, 99.99th(us): 88000
READ_MODIFY_WRITE - Takes(s): 39.9, Count: 194745, OPS: 4880.4, Avg(us): 17220, Min(us): 5626, Max(us): 137034, 99th(us): 40000, 99.9th(us): 95000, 99.99th(us): 120000
