[2022/06/13 13:15:29.374 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108789600103155778]
[2022/06/13 13:15:29.382 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"tikv.batchsize"="128"
"updateproportion"="0.5"
"recordcount"="10000000"
"workload"="core"
"dotransactions"="false"
"tikv.pd"="10.10.1.4:2379"
"readproportion"="0.5"
"insertproportion"="0"
"verbose"="false"
"tikv.type"="raw"
"dropdata"="false"
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="120"
"debug.pprof"=":6060"
"readallfields"="true"
"requestdistribution"="uniform"
**********************************************
INSERT - Takes(s): 9.9, Count: 74785, OPS: 7540.5, Avg(us): 15946, Min(us): 7966, Max(us): 95336, 99th(us): 28000, 99.9th(us): 87000, 99.99th(us): 93000
INSERT - Takes(s): 19.9, Count: 146979, OPS: 7379.4, Avg(us): 16242, Min(us): 7962, Max(us): 95336, 99th(us): 36000, 99.9th(us): 62000, 99.99th(us): 93000
INSERT - Takes(s): 29.9, Count: 221202, OPS: 7393.7, Avg(us): 16192, Min(us): 7310, Max(us): 95336, 99th(us): 34000, 99.9th(us): 56000, 99.99th(us): 93000
INSERT - Takes(s): 39.9, Count: 293410, OPS: 7350.4, Avg(us): 16278, Min(us): 7310, Max(us): 95336, 99th(us): 37000, 99.9th(us): 54000, 99.99th(us): 93000
INSERT - Takes(s): 49.9, Count: 364911, OPS: 7310.3, Avg(us): 16361, Min(us): 7310, Max(us): 95336, 99th(us): 38000, 99.9th(us): 53000, 99.99th(us): 93000
INSERT - Takes(s): 59.9, Count: 439290, OPS: 7331.6, Avg(us): 16308, Min(us): 7310, Max(us): 95336, 99th(us): 37000, 99.9th(us): 53000, 99.99th(us): 91000
INSERT - Takes(s): 69.9, Count: 508751, OPS: 7276.4, Avg(us): 16431, Min(us): 7280, Max(us): 95336, 99th(us): 37000, 99.9th(us): 54000, 99.99th(us): 92000
INSERT - Takes(s): 79.9, Count: 577013, OPS: 7220.1, Avg(us): 16558, Min(us): 7280, Max(us): 119097, 99th(us): 37000, 99.9th(us): 55000, 99.99th(us): 90000
INSERT - Takes(s): 89.9, Count: 650366, OPS: 7232.9, Avg(us): 16527, Min(us): 7280, Max(us): 119097, 99th(us): 37000, 99.9th(us): 55000, 99.99th(us): 89000
INSERT - Takes(s): 99.9, Count: 724538, OPS: 7251.3, Avg(us): 16483, Min(us): 7280, Max(us): 119097, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 93000
INSERT - Takes(s): 109.9, Count: 800016, OPS: 7278.3, Avg(us): 16421, Min(us): 7280, Max(us): 119097, 99th(us): 37000, 99.9th(us): 58000, 99.99th(us): 93000
INSERT - Takes(s): 119.9, Count: 874148, OPS: 7289.6, Avg(us): 16394, Min(us): 7280, Max(us): 119097, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 93000
INSERT - Takes(s): 129.9, Count: 944115, OPS: 7267.0, Avg(us): 16445, Min(us): 7067, Max(us): 119097, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 139.9, Count: 1009194, OPS: 7212.8, Avg(us): 16569, Min(us): 7067, Max(us): 119097, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 149.9, Count: 1074330, OPS: 7166.1, Avg(us): 16677, Min(us): 7067, Max(us): 119097, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 159.9, Count: 1146724, OPS: 7170.7, Avg(us): 16666, Min(us): 7067, Max(us): 119097, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 169.9, Count: 1218977, OPS: 7173.9, Avg(us): 16658, Min(us): 7067, Max(us): 119097, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 99000
INSERT - Takes(s): 179.9, Count: 1289194, OPS: 7165.5, Avg(us): 16677, Min(us): 6123, Max(us): 119097, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 99000
INSERT - Takes(s): 189.9, Count: 1363006, OPS: 7176.8, Avg(us): 16650, Min(us): 6123, Max(us): 119097, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 199.9, Count: 1430321, OPS: 7154.5, Avg(us): 16702, Min(us): 6123, Max(us): 119097, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 98000
INSERT - Takes(s): 209.9, Count: 1495104, OPS: 7122.3, Avg(us): 16778, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 98000
INSERT - Takes(s): 219.9, Count: 1558966, OPS: 7088.9, Avg(us): 16857, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 97000
INSERT - Takes(s): 229.9, Count: 1629945, OPS: 7089.3, Avg(us): 16856, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 96000
INSERT - Takes(s): 239.9, Count: 1704929, OPS: 7106.3, Avg(us): 16815, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 95000
INSERT - Takes(s): 249.9, Count: 1779009, OPS: 7118.4, Avg(us): 16786, Min(us): 4324, Max(us): 119097, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 94000
INSERT - Takes(s): 259.9, Count: 1855297, OPS: 7138.0, Avg(us): 16740, Min(us): 4324, Max(us): 119097, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 93000
INSERT - Takes(s): 269.9, Count: 1916413, OPS: 7100.0, Avg(us): 16830, Min(us): 4324, Max(us): 119097, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 93000
INSERT - Takes(s): 279.9, Count: 1976736, OPS: 7061.9, Avg(us): 16921, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 93000
