[2022/06/13 11:29:44.039 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 11:29:44.046 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 11:29:44.047 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108762482654755923]
[2022/06/13 11:29:44.047 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"verbose"="false"
"requestdistribution"="uniform"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.type"="raw"
"scanproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"recordcount"="10000000"
"readallfields"="true"
"updateproportion"="0.5"
"workload"="core"
"dotransactions"="false"
"readproportion"="0.5"
"threadcount"="120"
"dropdata"="false"
"debug.pprof"=":6060"
"insertproportion"="0"
**********************************************
INSERT - Takes(s): 9.9, Count: 75596, OPS: 7645.4, Avg(us): 15771, Min(us): 8015, Max(us): 123359, 99th(us): 29000, 99.9th(us): 113000, 99.99th(us): 121000
INSERT - Takes(s): 19.9, Count: 151564, OPS: 7621.3, Avg(us): 15749, Min(us): 7343, Max(us): 123359, 99th(us): 33000, 99.9th(us): 50000, 99.99th(us): 120000
INSERT - Takes(s): 29.9, Count: 229849, OPS: 7690.6, Avg(us): 15579, Min(us): 7343, Max(us): 123359, 99th(us): 32000, 99.9th(us): 48000, 99.99th(us): 119000
INSERT - Takes(s): 39.9, Count: 305285, OPS: 7653.7, Avg(us): 15642, Min(us): 7343, Max(us): 123359, 99th(us): 35000, 99.9th(us): 52000, 99.99th(us): 117000
INSERT - Takes(s): 49.9, Count: 379306, OPS: 7603.3, Avg(us): 15738, Min(us): 7343, Max(us): 123359, 99th(us): 37000, 99.9th(us): 52000, 99.99th(us): 118000
INSERT - Takes(s): 59.9, Count: 455070, OPS: 7598.8, Avg(us): 15740, Min(us): 7343, Max(us): 123359, 99th(us): 35000, 99.9th(us): 51000, 99.99th(us): 115000
INSERT - Takes(s): 69.9, Count: 523702, OPS: 7493.6, Avg(us): 15960, Min(us): 7343, Max(us): 123359, 99th(us): 36000, 99.9th(us): 52000, 99.99th(us): 115000
INSERT - Takes(s): 79.9, Count: 591101, OPS: 7399.2, Avg(us): 16162, Min(us): 7343, Max(us): 123359, 99th(us): 37000, 99.9th(us): 53000, 99.99th(us): 115000
INSERT - Takes(s): 89.9, Count: 667866, OPS: 7430.1, Avg(us): 16092, Min(us): 7343, Max(us): 123359, 99th(us): 36000, 99.9th(us): 52000, 99.99th(us): 114000
INSERT - Takes(s): 99.9, Count: 742327, OPS: 7431.7, Avg(us): 16087, Min(us): 7343, Max(us): 123359, 99th(us): 37000, 99.9th(us): 52000, 99.99th(us): 114000
INSERT - Takes(s): 109.9, Count: 817888, OPS: 7443.0, Avg(us): 16061, Min(us): 7343, Max(us): 131604, 99th(us): 37000, 99.9th(us): 55000, 99.99th(us): 115000
