[2022/06/14 12:47:29.778 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/14 12:47:29.784 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/14 12:47:29.784 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7109153521121075803]
[2022/06/14 12:47:29.784 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"debug.pprof"=":6060"
"requestdistribution"="uniform"
"workload"="core"
"readproportion"="0.5"
"tikv.batchsize"="128"
"tikv.conncount"="128"
"dotransactions"="false"
"updateproportion"="0.5"
"recordcount"="1000000"
"verbose"="false"
"readallfields"="true"
"threadcount"="5"
"tikv.pd"="10.10.1.4:2379"
"tikv.type"="raw"
"operationcount"="1000000"
"dropdata"="false"
"scanproportion"="0"
"insertproportion"="0"
**********************************************
INSERT - Takes(s): 9.9, Count: 6164, OPS: 620.8, Avg(us): 8031, Min(us): 4771, Max(us): 70867, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 71000
INSERT - Takes(s): 19.9, Count: 12373, OPS: 620.8, Avg(us): 8004, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 71000
INSERT - Takes(s): 29.9, Count: 18543, OPS: 619.5, Avg(us): 8010, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 71000
INSERT - Takes(s): 39.9, Count: 24752, OPS: 619.9, Avg(us): 8001, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 71000
INSERT - Takes(s): 49.9, Count: 30944, OPS: 619.7, Avg(us): 8000, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 71000
INSERT - Takes(s): 59.9, Count: 37160, OPS: 620.1, Avg(us): 7994, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 71000
INSERT - Takes(s): 69.9, Count: 43325, OPS: 619.5, Avg(us): 8000, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 71000
INSERT - Takes(s): 79.9, Count: 49519, OPS: 619.5, Avg(us): 8000, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 71000
INSERT - Takes(s): 89.9, Count: 55723, OPS: 619.6, Avg(us): 7998, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 20000
INSERT - Takes(s): 99.9, Count: 61927, OPS: 619.7, Avg(us): 7996, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 20000
INSERT - Takes(s): 109.9, Count: 68117, OPS: 619.6, Avg(us): 7996, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 22000
INSERT - Takes(s): 119.9, Count: 74334, OPS: 619.8, Avg(us): 7994, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 23000
INSERT - Takes(s): 129.9, Count: 80563, OPS: 620.0, Avg(us): 7991, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 22000
INSERT - Takes(s): 139.9, Count: 86782, OPS: 620.2, Avg(us): 7989, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 17000, 99.99th(us): 23000
INSERT - Takes(s): 149.9, Count: 93030, OPS: 620.5, Avg(us): 7985, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 22000
INSERT - Takes(s): 159.9, Count: 99247, OPS: 620.6, Avg(us): 7983, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 22000
INSERT - Takes(s): 169.9, Count: 105458, OPS: 620.6, Avg(us): 7983, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 22000
INSERT - Takes(s): 179.9, Count: 111823, OPS: 621.5, Avg(us): 7971, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 18000, 99.99th(us): 22000
INSERT - Takes(s): 189.9, Count: 117768, OPS: 620.1, Avg(us): 7989, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 35000
INSERT - Takes(s): 199.9, Count: 123998, OPS: 620.2, Avg(us): 7987, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 35000
INSERT - Takes(s): 209.9, Count: 130184, OPS: 620.1, Avg(us): 7988, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 34000
INSERT - Takes(s): 219.9, Count: 136389, OPS: 620.1, Avg(us): 7988, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 34000
INSERT - Takes(s): 229.9, Count: 142588, OPS: 620.1, Avg(us): 7988, Min(us): 4598, Max(us): 70867, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 32000
INSERT - Takes(s): 239.9, Count: 148701, OPS: 619.8, Avg(us): 7993, Min(us): 4598, Max(us): 134933, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 35000
INSERT - Takes(s): 249.9, Count: 154864, OPS: 619.6, Avg(us): 7995, Min(us): 4598, Max(us): 134933, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 35000
